document_number,average_f1_score,average_edit_distance,average_cosine_similarity,total_questions
9,0.385,0.480206698063841,0.3815138917764066,40
17,0.01515151515151515,0.1422589869281046,0.012503108879158401,8
25,0.4444444444444445,0.6331932773109245,0.4386492447691777,15
43,0.1,0.9099999999999999,0.1,10
45,0.9555555555555556,0.9397849462365592,0.9480192100374555,15
47,0.8315789473684211,0.847321005215742,0.8268051192950673,19
51,0.4943722943722944,0.6036075036075036,0.4925603979126905,11
60,0.1503267973856209,0.24059526860177619,0.15032679738562094,153
65,0.0,0.12137440016396953,0.0,83
66,0.0,0.17691090323252281,0.0,77
