document_number,average_f1_score,average_edit_distance,average_cosine_similarity,total_questions
9,0.6297959183673469,0.6531407525404748,0.6158102274874176,35
17,0.6089427588413389,0.5172904370726319,0.5946587670330031,29
25,0.8012345679012346,0.8828080484330484,0.7910945727061235,18
43,0.45454545454545453,0.8735537190082645,0.45454545454545453,11
45,0.9109126984126984,0.869159932487725,0.9150290445951699,20
47,0.5316818774445893,0.6823328625235405,0.5188503129238455,59
51,0.8404040404040404,0.7198120673060917,0.8391135297784316,22
60,0.7928895367670877,0.7577854655911259,0.7691466558320635,49
65,0.8025116025116025,0.7811889363093056,0.7991163886451284,37
66,0.750922849760059,0.7419237403038842,0.7241459091478796,43
