Unnamed: 0,document_number,question,answer,num_hops,num_set_operations,multiple_answers,llm_response,f1_score,edit_distance,cosine_similarity
112,66,who is the authorized signer of the company which is the issuing lender but not the revolver in the agreement,james riley,3,2,0,Not found,0.0,0.09090909090909094,0.0
113,66,who is the authorized signer of the company which is the term loan a lender but not the revolver in the agreement,james riley,3,2,0,James Riley,1.0,1.0,1.0000000000000002
114,66,who is the authorized signer of the company which is the swingline lender but not the revolver in the agreement,james riley,3,2,0,Darin Mullis,0.0,0.25,0.0
164,47,who is the vice president of the company which is the lender but not the co syndication agents in the agreement,bremmer kneib,3,2,0,"Bremmer Kneib, Brian McNany, Marni McManus, Samuel Coward, Kristie Li, John P. Treadwell Jr., Anthony Galea",0.2222222222222222,0.13131313131313127,0.26880497578542223
165,47,who is the director of the company which is the co syndication agents but not the bookrunners in the agreement,brian mcnany,3,2,0,Not found,0.0,0.16666666666666663,0.0
166,47,who is the director of the company which is the lender but not the bookrunners in the agreement,brian mcnany,3,2,0,Brian McNany,1.0,1.0,1.0000000000000002
167,47,who is the director of the company which is the lender but not the co syndication agents in the agreement,brian mcnany,3,2,0,Brian McNany,1.0,1.0,1.0000000000000002
168,47,"who is the managing director of the company which is the lender but not the administrative agent, in the agreement",kirk tesch,3,2,0,Kirk Tesch,1.0,1.0,1.0000000000000002
182,51,who is the vice president of the company which is the collateral agent but not the lead arrangers in the agreement,cody gunsch,3,2,0,Sonia N. Flores,0.0,0.1428571428571429,0.0
183,51,who is the vice president of the company which is the collateral agent but not the bookrunners in the agreement,cody gunsch,3,2,0,Sonia N. Flores,0.0,0.1428571428571429,0.0
184,51,who is the vice president of the company which is the collateral agent but not the lender in the agreement,cody gunsch,3,2,0,Sonia N. Flores,0.0,0.1428571428571429,0.0
185,51,who is the vice president of the company which is the administrative agent but not the lead arrangers in the agreement,cody gunsch,3,2,0,Cody Gunsch,1.0,1.0,1.0000000000000002
186,51,who is the vice president of the company which is the administrative agent but not the bookrunners in the agreement,cody gunsch,3,2,0,Cody Gunsch,1.0,1.0,1.0000000000000002
187,51,who is the vice president of the company which is the administrative agent but not the lender in the agreement,cody gunsch,3,2,0,Cody Gunsch,1.0,1.0,1.0000000000000002
353,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by fifth third bank, national association","bookrunner, book manager, lead arranger",1,3,1,Joint Lead Arrangers and Joint Bookrunners,0.20000000000000004,0.2142857142857143,0.08704446792504217
354,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by goldman sachs bank usa","bookrunner, book manager, lead arranger",1,3,1,Joint Lead Arrangers and Joint Bookrunners,0.20000000000000004,0.2142857142857143,0.08704446792504217
355,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by pnc bank, national association","bookrunner, book manager, lead arranger",1,3,1,Joint Lead Arrangers and Joint Bookrunners,0.20000000000000004,0.2142857142857143,0.08704446792504217
