Unnamed: 0,document_number,question,answer,num_hops,num_set_operations,multiple_answers,llm_response,sum_values,F1_Score
0,17,"what is the location of exgen renewables holdings, llc","il 60603, 49th floorchicago, 10 south dearborn street",1,0,0,"10 South Dearborn Street, 49th Floor Chicago, IL 60603",1,0.0
1,17,"what is the location of exgen renewables iv, llc","md 21231, 1310 point street, 12th floorbaltimore",1,0,0,"10 South Dearborn Street, 49th Floor Chicago, IL 60603",1,0.0
2,17,"what is the location of exgen renewables iv holding, llc","il 60603, 49th floorchicago, 10 south dearborn street",1,0,0,"10 South Dearborn Street, 49th Floor, Chicago, IL 60603",1,0.0
3,17,"what is the location of exelon generation company, llc","dc 20068, 701 ninth street nw, 9th floorwashington",1,0,0,"Chicago, IL 60603",1,0.1176470588235294
4,17,"what is the location of morgan stanley senior funding, inc.","md 21231, 1300 thames street, 4th floorthames street wharfbaltimore",1,0,0,"1300 Thames Street, 4th Floor Thames Street Wharf Baltimore, MD 21231",1,0.0
5,17,what is the location of simpson thacher bartlett llp,"new york, 425 lexington avenue",1,0,0,Not found,1,0.0
6,17,"what is the location of wilmington trust, national association",1100 north market streetwilmington delaware 19890,1,0,0,Not found,1,0.7692307692307692
7,17,which company is associated with 1100 north market streetwilmington delaware 19890,"wilmington trust, national association",1,0,0,Not found,1,1.0
8,17,"which company is associated with 1300 thames street, 4th floorthames street wharfbaltimore, md 21231","inc., morgan stanley senior funding",1,0,0,Not found,1,0.0
9,17,"which company is associated with 1310 point street, 12th floorbaltimore, md 21231","llc, exgen renewables iv",1,0,0,Not found,1,0.0
10,17,"which company is associated with 425 lexington avenue, new york, new york 10017",simpson thacher bartlett llp,1,0,0,Not found,1,0.0
11,17,"which company is associated with 701 ninth street nw, 9th floorwashington, dc 20068","llc, exelon generation company",1,0,0,Not found,1,0.0
12,17,"what type of location is 10 south dearborn street, 49th floorchicago, il 60603",chief executive office,1,0,0,Not found,1,0.4
13,17,"what is the role of exgen renewables iv, llc in the agreement",borrower,1,0,0,Borrower,1,0.0
14,17,"what is the role of constellation dco albany power holdings, llc in the agreement",grantor,1,0,0,"Constellation DCO Albany Power Holdings, LLC is one of the Project Holdcos, and it owns, directly or indirectly, all (or a specified class of) the Equity Interests of other Project Entities, which collectively own or lease the Projects.  The Borrower owns not less than 50% of the Equity Interests in Constellation DCO Albany Power Holdings, LLC.",1,0.0
15,17,"what is the role of exgen renewables iv holding, llc in the agreement",holding,1,0,0,Holding company of the Borrower.,1,0.0
16,17,"what is the role of exelon avsr holding, llc in the agreement",grantor,1,0,0,"Exelon AVSR Holding, LLC is one of the Project Holdcos, in which the Borrower owns 100% of the Equity Interests.  These Project Holdcos, including Exelon AVSR Holding, own, directly or indirectly, all (or a specified class of) the Equity Interests of each of the other Project Entities. These Project Entities collectively own or lease the Projects.  Exelon AVSR Holding, LLC also consents to the grant of a security interest in the Pledged Equity Interests to the Collateral Agent.",1,0.0
17,17,"what is the role of solgen holding, llc in the agreement",grantor,1,0,0,"SolGen Holding, LLC is one of the Project Holdcos, in which the Borrower owns all of the Equity Interests.  SolGen Holding, in turn, owns (directly or indirectly) all (or a specified class of) the Equity Interests of the SolGen Entities, which own or lease the SolGen Projects.",1,0.0
18,17,"what is the role of wilmington trust, national association in the agreement","national associationagent, collateralwilmington trust",1,0,0,Collateral Agent and Depositary Bank,1,0.0
19,17,what company is the borrower in the agreement,"llc, exgen renewables iv",1,0,0,Not found,1,0.0
20,17,what company is the holding in the agreement,"llc, exgen renewables iv holding",1,0,0,"ExGen Renewables IV Holding, LLC",1,0.3333333333333333
21,17,what company is the lead arranger in the agreement,"inc., morgan stanley senior funding",1,0,0,Not found,1,1.0
22,17,what company is the lead bookrunner in the agreement,"inc., morgan stanley senior funding",1,0,0,Not found,1,1.0
23,17,what company is the documentation agent in the agreement,"inc., morgan stanley senior funding",1,0,0,Not found,1,0.0
24,17,"what company is the syndication agent, in the agreement","inc., morgan stanley senior funding",1,0,0,Not found,1,0.0
25,17,what company is the collateral agent in the agreement,"wilmington trust, national association",1,0,0,"Wilmington Trust, National Association",1,1.0
26,17,what company is the depositary bank in the agreement,"wilmington trust, national association",1,0,0,Not found,1,1.0
27,17,what company is the pledgor in the agreement,"llc, exgen renewables iv",1,0,0,Not found,1,0.0
28,17,"what company is the collateralwilmington trust, national associationagent in the agreement","wilmington trust, national association",1,0,0,"Wilmington Trust, National Association",1,1.0
1292,60,what is the position of anthony galea,executive director,1,0,0,Not found,1,1.0
1293,60,what is the position of bernadette collins,senior vice president,1,0,0,Not found,1,1.0
1294,60,what is the position of caroline smith,assistant vice president,1,0,0,Not found,1,1.0
1295,60,what is the position of eric h. williams,senior vice president,1,0,0,Not found,1,1.0
1296,60,what is the position of greg strauss,director,1,0,0,Not found,1,1.0
1297,60,what is the position of harry yergey,managing director,1,0,0,Not found,1,1.0
1298,60,what is the position of jason rinne,director,1,0,0,Not found,1,1.0
1299,60,what is the position of joshua dearmon,senior vice president,1,0,0,Not found,1,1.0
1300,60,what is the position of laura dodd,vice president,1,0,0,Vice President,1,1.0
1301,60,what is the position of lukas coleman,vice president,1,0,0,Not found,1,1.0
1302,60,what is the position of michael maguire,managing director,1,0,0,Managing Director,1,1.0
1303,60,what is the position of michael s. barnett,senior vice president,1,0,0,Not found,1,1.0
1304,60,what is the position of oscar cortez,director,1,0,0,Not found,1,1.0
1305,60,what is the position of patrick hartweger,managing director,1,0,0,Not found,1,1.0
1306,60,what is the position of stephanie herndon,assistant vice president,1,0,0,Not found,1,1.0
1307,60,what is the position of susan m. olsen,vice president,1,0,0,Not found,1,1.0
1308,60,what is the position of thor o connell,vice president,1,0,0,Not found,1,1.0
1309,60,in what organization does anthony galea work,"n.a, jpmorgan chase bank",1,0,0,"JPMORGAN CHASE BANK, N.A.",1,1.0
1310,60,in what organization does bernadette collins work,"capital one, national association",1,0,0,Not found,1,0.0
1311,60,in what organization does caroline smith work,bank of the west,1,0,0,Not found,1,1.0
1312,60,in what organization does eric h. williams work,"capital one, national association",1,0,0,Not found,1,0.5
1313,60,in what organization does greg strauss work,the bank of nova scotia,1,0,0,Not found,1,0.2
1314,60,in what organization does harry yergey work,bank of the west,1,0,0,Not found,1,1.0
1315,60,in what organization does jason rinne work,the bank of nova scotia,1,0,0,Not found,1,1.0
1316,60,in what organization does joshua dearmon work,"capital one, national association",1,0,0,Not found,1,1.0
1317,60,in what organization does laura dodd work,"city national bank, a national banking association",1,0,0,City National Bank,1,1.0
1318,60,in what organization does lukas coleman work,"city national bank, a national banking association",1,0,0,Not found,1,0.6666666666666665
1319,60,in what organization does marc h. crown work,"inc., leidos holdings",1,0,0,Not found,1,1.0
1320,60,in what organization does michael maguire work,bank of the west,1,0,0,City National Bank,1,0.25
1321,60,in what organization does michael s. barnett work,"capital one, national association",1,0,0,Not found,1,0.4444444444444445
1322,60,in what organization does oscar cortez work,the bank of nova scotia,1,0,0,Not found,1,0.25
1323,60,in what organization does patrick hartweger work,bank of the west,1,0,0,Not found,1,0.5714285714285715
1324,60,in what organization does ryan durkin work,"ltd., mizuho bank",1,0,0,Not found,1,0.2857142857142857
1325,60,in what organization does stephanie herndon work,regions bank,1,0,0,Not found,1,1.0
1326,60,in what organization does susan m. olsen work,"city national bank, a national banking association",1,0,0,Not found,1,0.0
1327,60,in what organization does thor o connell work,"city national bank, a national banking association",1,0,0,Not found,1,0.2222222222222222
1328,60,in what organization does tracy rahn work,"ltd., mizuho bank",1,0,0,Not found,1,1.0
1329,60,"who is the representative of jpmorgan chase bank, n.a",anthony galea,1,0,0,Not found,1,1.0
1330,60,"who is the representative of leidos holdings, inc.",marc h. crown,1,0,0,"Michael Maguire, Managing Director",1,1.0
1331,60,who is the representative of regions bank,stephanie herndon,1,0,0,Not found,1,1.0
1332,60,"what is the role of citibank, n.a. in the agreement",administrative agent,1,0,0,Not found,1,1.0
1333,60,what is the role of fitch ratings in the agreement,ratings agency,1,0,0,"Fitch's ratings, along with S&P's and Moody's, are used to determine the Applicable Rate and the Commitment Fee Rate.  If Fitch changes its rating system or stops rating corporate debt, the parties will renegotiate the agreement to reflect this.",1,0.3333333333333333
1334,60,"what is the role of leidos, inc. in the agreement",borrower,1,0,0,Not found,1,1.0
1335,60,"what is the role of moody s investors service, inc. in the agreement",ratings agency,1,0,0,Not found,1,0.3333333333333333
1336,60,what is the role of pnc capital markets llc in the agreement,bookrunners,1,0,0,Not found,1,0.3333333333333333
1337,60,"what is the role of leidos holdings, inc. in the agreement",holdings,1,0,0,Holdings,1,0.0
1338,60,what company is the administrative agent in the agreement,"n.a., citibank",1,0,0,Not found,1,1.0
1339,60,what company is the borrower in the agreement,"inc., leidos",1,0,0,Not found,1,1.0
1340,60,what company is the holdings in the agreement,"inc., leidos holdings",1,0,0,Not found,1,1.0
1637,66,what is the position of ben snodgrass,vice president,1,0,0,Not found,1,0.0
1638,66,what is the position of bret douglas,senior vice president,1,0,0,Not found,1,0.0
1639,66,what is the position of cecile segovia,director,1,0,0,Not found,1,0.0
1640,66,what is the position of darin mullis,managing director,1,0,0,Not found,1,0.0
1641,66,what is the position of erik barragan,authorized officer,1,0,0,Not found,1,0.0
1642,66,what is the position of erin robinson,managing director,1,0,0,Not found,1,0.0
1643,66,what is the position of james riley,authorized signer,1,0,0,Not found,1,0.0
1644,66,what is the position of joseph d. hricovsky,senior vice president,1,0,0,Not found,1,0.0
1645,66,what is the position of karen m. dahlquist,duly authorized signatory,1,0,0,Not found,1,0.0
1646,66,what is the position of kathryn e. benjamin,senior vice president,1,0,0,Not found,1,0.0
1647,66,what is the position of kevin wood,director,1,0,0,Not found,1,0.0
1648,66,what is the position of kristie li,senior vice president,1,0,0,Not found,1,0.0
1649,66,what is the position of tanille ingle,vice president,1,0,0,Not found,1,0.0
1650,66,what is the position of tom priedeman,senior vice president,1,0,0,Not found,1,0.0
1651,66,in what organization does ben snodgrass work,"keybank, national association",1,0,0,Not found,1,0.0
1652,66,in what organization does bret douglas work,u.s. bank national association,1,0,0,Not found,1,0.0
1653,66,in what organization does cecile segovia work,"ltd., mufg bank",1,0,0,Not found,1,0.0
1654,66,in what organization does darin mullis work,"wells fargo bank, national association",1,0,0,Not found,1,0.0
1655,66,in what organization does erik barragan work,"n.a., jpmorgan chase bank",1,0,0,Not found,1,0.0
1656,66,in what organization does erin robinson work,"wells fargo bank, national association",1,0,0,Not found,1,0.0
1657,66,in what organization does james riley work,citibank n.a.,1,0,0,Not found,1,0.0
1658,66,in what organization does joseph d. hricovsky work,u.s. bank national association,1,0,0,Not found,1,0.0
1659,66,in what organization does karen m. dahlquist work,"capital one, national association",1,0,0,Not found,1,0.0
1660,66,in what organization does kathryn e. benjamin work,u.s. bank national association,1,0,0,Not found,1,0.0
1661,66,in what organization does kevin wood work,"ltd., mufg bank",1,0,0,Not found,1,0.0
1662,66,in what organization does kristie li work,u.s. bank national association,1,0,0,Not found,1,0.0
1663,66,in what organization does ronnie glenn work,"n.a., bank of america",1,0,0,Not found,1,0.0
1664,66,in what organization does tanille ingle work,"keybank, national association",1,0,0,Not found,1,0.0
1665,66,in what organization does tom priedeman work,u.s. bank national association,1,0,0,Not found,1,0.0
1666,66,"who is the representative of bank of america, n.a.",ronnie glenn,1,0,0,Not found,1,0.0
1667,66,"who is the representative of capital one, national association",karen m. dahlquist,1,0,0,Not found,1,0.0
1668,66,who is the representative of citibank n.a.,james riley,1,0,0,Not found,1,0.0
1669,66,"who is the representative of icu medical, inc.",brian m. bonnell,1,0,0,Not found,1,0.0
1670,66,"who is the representative of jpmorgan chase bank, n.a.",erik barragan,1,0,0,Not found,1,0.0
1671,66,"who is the representative of exc holding corp.tangent medical technologies, inc.excelsior medical corporationicu world, inc.",brian m. bonnell,1,0,0,Not found,1,0.0
1672,66,what is the role of cahill gordon reindel llp in the agreement,legal counsel,1,0,0,Not found,1,0.2857142857142857
1673,66,what is the role of deloitte touche llp in the agreement,legal counsel,1,0,0,Not found,1,0.0
1674,66,what is the role of keybanc capital markets in the agreement,syndication agents,1,0,0,"Joint lead arranger and joint bookrunner for the Tranche A Term Facility and the Revolving Facility, and joint lead arranger and joint bookrunner for the Tranche B Term Facility.",1,0.0
1675,66,what is the role of citibank n.a. in the agreement,revolver,1,0,0,Administrative Agent and Collateral Agent,1,0.1176470588235294
1676,66,"what is the role of icu medical, inc. in the agreement",borrower,1,0,0,Borrower,1,1.0
1677,66,what company is the revolver in the agreement,citibank n.a.,1,0,0,Not found,1,0.0
1678,66,what company is the borrower in the agreement,"inc., icu medical",1,0,0,Not found,1,1.0
1679,66,what company is the collateral agent in the agreement,"wells fargo bank, national association",1,0,0,Not found,1,1.0
1853,9,what is the position of ann e. sutton,director,1,0,0,Not found,1,1.0
1854,9,what is the position of brian d. williams,authorised signatory,1,0,0,Not found,1,1.0
1855,9,what is the position of eric searls,senior vice president,1,0,0,Not found,1,1.0
1856,9,what is the position of james disher,authorized signatory,1,0,0,Authorized Signatory,1,1.0
1857,9,what is the position of mark walton,authorized signatory,1,0,0,Authorized Signatory,1,1.0
1858,9,what is the position of mikhail faybusovich,director,1,0,0,Not found,1,1.0
1859,9,what is the position of peter predun,executive director,1,0,0,Not found,1,1.0
1860,9,what is the position of raymond g. dunning,vice president,1,0,0,Not found,1,1.0
1861,9,what is the position of wei jen yuan,associate,1,0,0,Associate,1,1.0
1862,9,in what organization does ann e. sutton work,barclays bank plc,1,0,0,Not found,1,1.0
1863,9,in what organization does brian d. williams work,the royal bank of scotland plc,1,0,0,Not found,1,1.0
1864,9,in what organization does denise r. cade work,"l.p., suncoke energy partners",1,0,0,Not found,1,0.6666666666666665
1865,9,in what organization does eric searls work,"l.p., suncoke energy partners",1,0,0,Branch Banking and Trust Company,1,0.0
1866,9,in what organization does ido yehuda work,"n.a., jpmorgan chase bank",1,0,0,Not found,1,1.0
1867,9,in what organization does james disher work,royal bank of canada,1,0,0,Royal Bank of Canada,1,1.0
1868,9,in what organization does jonathan m. phillips work,"l.p., suncoke energy partners",1,0,0,Not found,1,0.0
1869,9,in what organization does mark walton work,royal bank of canada,1,0,0,Goldman Sachs Bank USA,1,0.25
1870,9,in what organization does mikhail faybusovich work,barclays bank plc,1,0,0,"Credit Suisse AG, Cayman Islands Branch",1,0.0
1871,9,in what organization does peter predun work,"n.a., jpmorgan chase bank",1,0,0,Not found,1,1.0
1872,9,in what organization does raymond g. dunning work,"n.a., citibank",1,0,0,Not found,1,1.0
1873,9,in what organization does wei jen yuan work,"credit suisse ag, cayman islands branch",1,0,0,"Credit Suisse AG, Cayman Islands Branch",1,1.0
1874,9,"who is the representative of credit suisse ag, cayman islands branch",wei jen yuan,1,0,0,Mikhail Faybusovich and Wei-Jen Yuan,1,0.2857142857142857
1875,9,"who is the representative of citibank, n.a.",raymond g. dunning,1,0,0,Not found,1,1.0
1876,9,who is the representative of middletown cogeneration company llc,mark e. newman,1,0,0,Not found,1,1.0
1877,9,who is the representative of the royal bank of scotland plc,brian d. williams,1,0,0,"Brian D. Williams, Authorised Signatory",1,1.0
1878,9,"which company is associated with 1011 warrenville road suite 600 lisle, il 60532","l.p., suncoke energy partners",1,0,0,Not found,1,0.6666666666666665
1879,9,"which company is associated with 500 stanton christiana road, ops 2, floor 3 newark, delaware 19713 2107","l.p., suncoke energy partners",1,0,0,Not found,1,0.0
1880,9,what is the role of haverhill cogeneration company llc in the agreement,borrower,1,0,0,"Borrower (along with SunCoke Energy Partners, L.P., Haverhill Coke Company LLC, Middletown Coke Company, LLC, and Middletown Cogeneration Company LLC and certain other subsidiaries of SunCoke Energy Partners, L.P.)",1,1.0
1881,9,what is the role of haverhill coke company llc in the agreement,borrower,1,0,0,"Borrower (along with Suncoke Energy Partners, L.P., Middletown Coke Company, LLC, Haverhill Cogeneration Company LLC, Middletown Cogeneration Company LLC and certain other subsidiaries of Suncoke Energy Partners, L.P.)",1,1.0
1882,9,what is the role of j.p. morgan securities llc in the agreement,lead arrangers,1,0,0,Joint lead arrangers and joint bookrunners,1,0.5714285714285715
1883,9,"what is the role of middletown coke company, llc in the agreement",borrower,1,0,0,Borrower (along with other entities),1,1.0
1884,9,what is the role of rbs securities inc in the agreement,lead arrangers,1,0,0,Joint lead arranger and joint bookrunner.,1,0.5714285714285715
1885,9,what is the role of the royal bank of scotland plc in the agreement,co documentation agents,1,0,0,Co-Documentation Agent,1,0.2857142857142857
1886,9,what is the role of middletown cogeneration company llc in the agreement,borrower,1,0,0,One of the joint and several Borrowers.,1,1.0
1887,9,"what is the role of suncoke energy partners, l.p. in the agreement",borrower,1,0,0,Borrower (along with other subsidiaries),1,0.5
1900,65,what is the position of andrew griffin,authorized signatory,1,0,0,Not found,1,0.0
1901,65,what is the position of brian d. corum,managing director,1,0,0,Not found,1,1.0
1902,65,what is the position of frank mccormack,svp,1,0,0,Not found,1,0.0
1903,65,what is the position of lise hinton,senior vice president,1,0,0,Not found,1,0.0
1904,65,what is the position of mario c. kontomerkos,chief executive officer,1,0,0,Not found,1,0.0
1905,65,what is the position of matthew j. bradley,senior vice president,1,0,0,Not found,1,0.0
1906,65,what is the position of philip tancorra,vice president,1,0,0,Not found,1,0.0
1907,65,what is the position of sean mcwhinnie,director,1,0,0,Not found,1,0.0
1908,65,what is the position of thomas manning,authorized signatory,1,0,0,Not found,1,0.0
1909,65,what is the position of whitney gaston,authorized signatory,1,0,0,Not found,1,0.0
1910,65,what is the position of yumi okabe,vice president,1,0,0,Not found,1,0.0
1911,65,in what organization does andrew griffin work,goldman sachs bank usa,1,0,0,Not found,1,0.0
1912,65,in what organization does brian d. corum work,"n.a., bank of america",1,0,0,Not found,1,0.0
1913,65,in what organization does frank mccormack work,truist bank,1,0,0,Not found,1,0.0
1914,65,in what organization does lise hinton work,fifth third bank,1,0,0,Not found,1,0.0
1915,65,in what organization does mario c. kontomerkos work,mohegan tribal gaming authority,1,0,0,Not found,1,0.0
1916,65,in what organization does matthew j. bradley work,fifth third bank,1,0,0,Not found,1,0.0
1917,65,in what organization does philip tancorra work,deutsche bank ag new york branch,1,0,0,Not found,1,0.0
1918,65,in what organization does sean mcwhinnie work,"n.a., citizens bank",1,0,0,Not found,1,0.0
1919,65,in what organization does thomas manning work,goldman sachs bank usa,1,0,0,Not found,1,0.0
1920,65,in what organization does whitney gaston work,goldman sachs bank usa,1,0,0,Not found,1,0.0
1921,65,in what organization does yumi okabe work,deutsche bank ag new york branch,1,0,0,Not found,1,0.0
1922,65,who is the representative of truist bank,frank mccormack,1,0,0,Not found,1,0.0
1923,65,"who is the representative of bank of america, n.a.",brian d. corum,1,0,0,Not found,1,0.0
1924,65,"who is the representative of citizens bank, n.a.",sean mcwhinnie,1,0,0,Not found,1,0.0
1925,65,who is the representative of mohegan tribal gaming authority,mario c. kontomerkos,1,0,0,Not found,1,0.0
1926,65,what is the role of citizens bank in the agreement,collateral trustee,1,0,0,Not found,1,0.0
1927,65,what is the role of fitch ratings in the agreement,rating agency,1,0,0,Not found,1,0.0
1928,65,"what is the role of moody s investors service, inc. in the agreement",rating agency,1,0,0,"Moody's Investor Services, Inc. provides a corporate family rating with respect to the Borrower.",1,0.0
1929,65,what is the role of standard poor s financial services llc in the agreement,rating agency,1,0,0,Not found,1,0.0
1930,65,"what is the role of tribe, faegre drinker biddle reath llp in the agreement",legal counsel,1,0,0,Not found,1,0.0
1931,65,"what is the role of tribe, rosenn, jenkins greenwald llp in the agreement",legal counsel,1,0,0,Not found,1,0.0
1932,65,what is the role of mohegan tribal gaming authority in the agreement,borrower,1,0,0,Borrower,1,1.0
1933,65,what company is the collateral trustee in the agreement,citizens bank,1,0,0,Not found,1,0.0
1934,65,what company is the administrative agent in the agreement,"n.a., citizens bank",1,0,0,Citizens Bank,1,1.0
1935,65,what company is the c issuer in the agreement,"n.a., citizens bank",1,0,0,Not found,1,1.0
1936,65,what company is the borrower in the agreement,mohegan tribal gaming authority,1,0,0,Not found,1,1.0
2694,43,what is the role of k12 california l.l.c in the agreement,guarantors,1,0,0,Not found,1,1.0
2695,43,what is the role of k12 virtual schools l.l.c. in the agreement,guarantors,1,0,0,Not found,1,1.0
2696,43,what is the role of k12 washington l.l.c. in the agreement,guarantors,1,0,0,Not found,1,1.0
2697,43,"what is the role of power glide language courses, inc in the agreement",guarantors,1,0,0,Not found,1,1.0
2698,43,"what is the role of fuel education llc, in the agreement",guarantors,1,0,0,Not found,1,1.0
2699,43,what is the role of k12 classroom l.l.c in the agreement,guarantors,1,0,0,Not found,1,1.0
2700,43,"what is the role of k12 florida l.l.c., in the agreement",guarantors,1,0,0,Not found,1,1.0
2701,43,what is the role of k12 inc in the agreement,borrower,1,0,0,Borrower,1,1.0
2702,43,what is the role of k12 management inc. in the agreement,guarantors,1,0,0,Not found,1,1.0
2703,43,what is the role of k12 services inc. in the agreement,guarantors,1,0,0,Borrower,1,1.0
2704,43,what company is the borrower in the agreement,k12 inc,1,0,0,Not found,1,1.0
2806,47,what is the position of anthony galea,vice president,1,0,0,Not found,1,1.0
2807,47,what is the position of bremmer kneib,vice president,1,0,0,Not found,1,1.0
2808,47,what is the position of brian mcnany,director,1,0,0,Not found,1,1.0
2809,47,what is the position of james edgemond,chief financial officer and treasurer,1,0,0,Not found,1,1.0
2810,47,what is the position of john p. treadwell jr.,vice president,1,0,0,Not found,1,1.0
2811,47,what is the position of kirk tesch,managing director,1,0,0,Not found,1,1.0
2812,47,what is the position of marni mcmanus,vice president,1,0,0,Not found,1,1.0
2813,47,what is the position of philip f. kurpiewski,vice president,1,0,0,Not found,1,0.8
2814,47,what is the position of robert laporte,senior vice president,1,0,0,Not found,1,1.0
2815,47,what is the position of samuel coward,vice president,1,0,0,Not found,1,1.0
2816,47,in what organization does anthony galea work,deutsche bank ag new york branch,1,0,0,Not found,1,0.2
2817,47,in what organization does bremmer kneib work,"pnc bank, national association",1,0,0,Not found,1,1.0
2818,47,in what organization does brian mcnany work,"ltd., the bank of tokyo mitsubishi ufj",1,0,0,Not found,1,0.7692307692307692
2819,47,in what organization does james edgemond work,united therapeutics corporation,1,0,0,Not found,1,1.0
2820,47,in what organization does john p. treadwell jr. work,deutsche bank ag new york branch,1,0,0,Not found,1,0.2
2821,47,in what organization does kirk tesch work,"wells fargo bank, national association",1,0,0,Not found,1,1.0
2822,47,in what organization does kristie li work,"n.a., bank of america",1,0,0,Not found,1,0.0
2823,47,in what organization does marni mcmanus work,deutsche bank ag new york branch,1,0,0,Not found,1,0.0
2824,47,in what organization does ming k. chu work,deutsche bank ag new york branch,1,0,0,Not found,1,1.0
2825,47,in what organization does philip f. kurpiewski work,deutsche bank ag new york branch,1,0,0,Not found,1,0.0
2826,47,in what organization does robert laporte work,"n.a., bank of america",1,0,0,Not found,1,1.0
2827,47,in what organization does samuel coward work,barclays bank plc,1,0,0,Not found,1,1.0
2828,47,in what organization does virginia cosenza work,deutsche bank ag new york branch,1,0,0,Not found,1,1.0
2829,47,who is the representative of barclays bank plc,samuel coward,1,0,0,Not found,1,1.0
2830,47,"who is the representative of pnc bank, national association",bremmer kneib,1,0,0,"PNC Bank, National Association, is listed as one of the co-Syndication Agents.  The provided text doesn't name a specific representative for them.",1,1.0
2831,47,"who is the representative of the bank of tokyo mitsubishi ufj, ltd.",brian mcnany,1,0,0,Not found,1,1.0
2832,47,who is the representative of united therapeutics corporation,james edgemond,1,0,0,Not found,1,1.0
2833,47,"who is the representative of wells fargo bank, national association",kirk tesch,1,0,0,Not found,1,1.0
2834,47,"which company is associated with 1040 spring streetsilver spring, maryland 20910",united therapeutics corporation,1,0,0,Not found,1,1.0
2835,47,"which company is associated with 1735 connecticut avenue, n.w.washington, district of columbia 20009",united therapeutics corporation,1,0,0,Not found,1,1.0
2836,47,"which company is associated with 301 south college street, 14th floorcharlotte, nc 28202","wells fargo bank, national association",1,0,0,Not found,1,1.0
2837,47,what is the role of lung biotechnology pbc in the agreement,guarantors,1,0,0,Not found,1,1.0
2838,47,"what is the role of 1109 spring holdings, llc, a delaware limited liability company in the agreement",subsidiaries,1,0,0,Not found,1,0.0
2839,47,"what is the role of 1109 spring managing member, llc, a delaware limited liability company in the agreement",subsidiaries,1,0,0,Not found,1,0.0
2840,47,"what is the role of evolung inc., a delaware corporation in the agreement",subsidiaries,1,0,0,Not found,1,0.0
2841,47,"what is the role of lung biotechnology nanjing co., ltd., a chinese wholly foreign owned entity in the agreement",subsidiaries,1,0,0,Not found,1,0.0
2842,47,"what is the role of lung biotechnology hong kong limited, a hong kong company in the agreement",subsidiaries,1,0,0,Not found,1,0.0
2843,47,"what is the role of lung biotechnology pbc, a delaware public benefit corporation in the agreement",subsidiaries,1,0,0,Not found,1,0.0
2844,47,"what is the role of lung rx limited, a united kingdom company in the agreement",subsidiaries,1,0,0,Not found,1,0.0
2845,47,"what is the role of merrill lynch, pierce, fenner smith incorporated, in the agreement",bookrunners,1,0,0,Not found,1,0.3333333333333333
2846,47,"what is the role of pnc capital markets llc, in the agreement",bookrunners,1,0,0,Not found,1,0.3333333333333333
2847,47,"what is the role of revivicor, inc., a delaware corporation in the agreement",subsidiaries,1,0,0,Not found,1,0.0
2848,47,"what is the role of utasia inc., a delaware corporation in the agreement",subsidiaries,1,0,0,Not found,1,0.0
2849,47,"what is the role of utasia inc. shanghai representative office, a chinese representative office in the agreement",subsidiaries,1,0,0,Not found,1,0.0
2850,47,"what is the role of united therapeutics europe, ltd., a united kingdom company in the agreement",subsidiaries,1,0,0,Not found,1,0.0
2851,47,"what is the role of unither.com, inc., a delaware corporation in the agreement",subsidiaries,1,0,0,Not found,1,0.0
2852,47,"what is the role of unither biotech inc., a canadian corporation in the agreement",subsidiaries,1,0,0,Not found,1,0.0
2853,47,"what is the role of unither pharma, llc, a delaware limited liability company in the agreement",subsidiaries,1,0,0,Not found,1,0.0
2854,47,"what is the role of unither pharmaceuticals, llc, a delaware limited liability company in the agreement",subsidiaries,1,0,0,Not found,1,0.0
2855,47,"what is the role of unither telmed, ltd., a delaware corporation in the agreement",subsidiaries,1,0,0,Not found,1,0.0
2856,47,"what is the role of unither therapeutik gmbh, a german company in the agreement",subsidiaries,1,0,0,Not found,1,0.4
2857,47,"what is the role of wells fargo securities, llc, in the agreement",bookrunners,1,0,0,Not found,1,0.3333333333333333
2858,47,"what is the role of pnc bank, national association in the agreement",co syndication agents,1,0,0,co-Syndication Agent,1,0.2857142857142857
2859,47,"what is the role of bank of america, n.a. in the agreement",co syndication agents,1,0,0,Administrative Agent and Collateral Agent,1,0.2857142857142857
2860,47,what is the role of united therapeutics corporation in the agreement,borrower,1,0,0,Borrower,1,1.0
2861,47,what is the role of deutsche bank ag new york branch in the agreement,co syndication agents,1,0,0,Not found,1,0.0
2862,47,what company is the guarantors in the agreement,lung biotechnology pbc,1,0,0,Not found,1,0.3529411764705882
2863,47,what company is the borrower in the agreement,united therapeutics corporation,1,0,0,Not found,1,1.0
2864,47,"what company is the administrative agent, in the agreement","wells fargo bank, national association",1,0,0,Not found,1,1.0
3357,51,what is the position of cody gunsch,vice president,1,0,0,Not found,1,1.0
3358,51,what is the position of sonia flores,vp,1,0,0,Not found,1,0.0
3359,51,in what organization does cody gunsch work,"inc., morgan stanley senior funding",1,0,0,Not found,1,1.0
3360,51,in what organization does sonia flores work,"n.a., mufg union bank",1,0,0,Not found,1,1.0
