question,answer
What vectors transmit a pathogen which causes shigellosis but not peliosis nhepatis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes shigellosis but not retinitis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes shigellosis but not trench fever?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes shigellosis but not endocarditis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes shigellosis but not salmonellosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes shigellosis but not campylobacteriosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes shigellosis but not peliosis hepatis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes shigellosis but not cat scratch disease?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes shigellosis but not osteomyelitis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes shigellosis but not bacillary angiomatosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes peliosis nhepatis but not shigellosis?,"body louse,cat flea"
What vectors transmit a pathogen which causes peliosis nhepatis but not gastroenteritis?,"body louse,cat flea"
What vectors transmit a pathogen which causes peliosis nhepatis but not cdi?,"body louse,cat flea"
What vectors transmit a pathogen which causes peliosis nhepatis but not salmonellosis?,"body louse,cat flea"
What vectors transmit a pathogen which causes peliosis nhepatis but not diarrheal disease?,"body louse,cat flea"
What vectors transmit a pathogen which causes peliosis nhepatis but not campylobacteriosis?,"body louse,cat flea"
What vectors transmit a pathogen which causes peliosis nhepatis but not peliosis hepatis?,"body louse,cat flea"
What vectors transmit a pathogen which causes retinitis but not shigellosis?,"body louse,cat flea"
What vectors transmit a pathogen which causes retinitis but not gastroenteritis?,"body louse,cat flea"
What vectors transmit a pathogen which causes retinitis but not cdi?,"body louse,cat flea"
What vectors transmit a pathogen which causes retinitis but not salmonellosis?,"body louse,cat flea"
What vectors transmit a pathogen which causes retinitis but not diarrheal disease?,"body louse,cat flea"
What vectors transmit a pathogen which causes retinitis but not campylobacteriosis?,"body louse,cat flea"
What vectors transmit a pathogen which causes retinitis but not peliosis hepatis?,"body louse,cat flea"
What vectors transmit a pathogen which causes trench fever but not shigellosis?,"body louse,cat flea"
What vectors transmit a pathogen which causes trench fever but not gastroenteritis?,"body louse,cat flea"
What vectors transmit a pathogen which causes trench fever but not cdi?,"body louse,cat flea"
What vectors transmit a pathogen which causes trench fever but not salmonellosis?,"body louse,cat flea"
What vectors transmit a pathogen which causes trench fever but not diarrheal disease?,"body louse,cat flea"
What vectors transmit a pathogen which causes trench fever but not campylobacteriosis?,"body louse,cat flea"
What vectors transmit a pathogen which causes trench fever but not peliosis hepatis?,"body louse,cat flea"
What vectors transmit a pathogen which causes gastroenteritis but not shigellosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes gastroenteritis but not peliosis nhepatis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes gastroenteritis but not retinitis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes gastroenteritis but not trench fever?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes gastroenteritis but not endocarditis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes gastroenteritis but not salmonellosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes gastroenteritis but not campylobacteriosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes gastroenteritis but not peliosis hepatis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes gastroenteritis but not cat scratch disease?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes gastroenteritis but not osteomyelitis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes gastroenteritis but not bacillary angiomatosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes endocarditis but not shigellosis?,"body louse,cat flea"
What vectors transmit a pathogen which causes endocarditis but not gastroenteritis?,"body louse,cat flea"
What vectors transmit a pathogen which causes endocarditis but not cdi?,"body louse,cat flea"
What vectors transmit a pathogen which causes endocarditis but not salmonellosis?,"body louse,cat flea"
What vectors transmit a pathogen which causes endocarditis but not diarrheal disease?,"body louse,cat flea"
What vectors transmit a pathogen which causes endocarditis but not campylobacteriosis?,"body louse,cat flea"
What vectors transmit a pathogen which causes endocarditis but not peliosis hepatis?,"body louse,cat flea"
What vectors transmit a pathogen which causes cdi but not shigellosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes cdi but not peliosis nhepatis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes cdi but not retinitis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes cdi but not trench fever?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes cdi but not endocarditis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes cdi but not salmonellosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes cdi but not campylobacteriosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes cdi but not peliosis hepatis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes cdi but not cat scratch disease?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes cdi but not osteomyelitis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes cdi but not bacillary angiomatosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes salmonellosis but not shigellosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes salmonellosis but not peliosis nhepatis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes salmonellosis but not retinitis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes salmonellosis but not trench fever?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes salmonellosis but not endocarditis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes salmonellosis but not campylobacteriosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes salmonellosis but not peliosis hepatis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes salmonellosis but not cat scratch disease?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes salmonellosis but not osteomyelitis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes salmonellosis but not bacillary angiomatosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes diarrheal disease but not shigellosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes diarrheal disease but not peliosis nhepatis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes diarrheal disease but not retinitis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes diarrheal disease but not trench fever?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes diarrheal disease but not endocarditis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes diarrheal disease but not salmonellosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes diarrheal disease but not campylobacteriosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes diarrheal disease but not peliosis hepatis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes diarrheal disease but not cat scratch disease?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes diarrheal disease but not osteomyelitis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes diarrheal disease but not bacillary angiomatosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes campylobacteriosis but not shigellosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes campylobacteriosis but not peliosis nhepatis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes campylobacteriosis but not retinitis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes campylobacteriosis but not trench fever?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes campylobacteriosis but not endocarditis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes campylobacteriosis but not salmonellosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes campylobacteriosis but not peliosis hepatis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes campylobacteriosis but not cat scratch disease?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes campylobacteriosis but not osteomyelitis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes campylobacteriosis but not bacillary angiomatosis?,"contaminated food or water,fecal-oral exposure"
