question,answer
What vectors transmit a pathogen which causes cdi and diarrheal disease?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes cdi and shigellosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes cdi and bacteremia?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes cdi and salmonellosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes cdi and gastroenteritis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes cdi and campylobacteriosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes trench fever and bacillary angiomatosis?,"body louse,cat flea"
What vectors transmit a pathogen which causes trench fever and osteomyelitis?,"body louse,cat flea"
What vectors transmit a pathogen which causes trench fever and endocarditis?,"body louse,cat flea"
What vectors transmit a pathogen which causes trench fever and retinitis?,"body louse,cat flea"
What vectors transmit a pathogen which causes trench fever and peliosis nhepatis?,"body louse,cat flea"
What vectors transmit a pathogen which causes trench fever and cat scratch disease?,"body louse,cat flea"
What vectors transmit a pathogen which causes trench fever and bacteremia?,"body louse,cat flea"
What vectors transmit a pathogen which causes bacillary angiomatosis and trench fever?,"body louse,cat flea"
What vectors transmit a pathogen which causes bacillary angiomatosis and osteomyelitis?,"body louse,cat flea"
What vectors transmit a pathogen which causes bacillary angiomatosis and endocarditis?,"body louse,cat flea"
What vectors transmit a pathogen which causes bacillary angiomatosis and retinitis?,"body louse,cat flea"
What vectors transmit a pathogen which causes bacillary angiomatosis and peliosis nhepatis?,"body louse,cat flea"
What vectors transmit a pathogen which causes bacillary angiomatosis and cat scratch disease?,"body louse,cat flea"
What vectors transmit a pathogen which causes bacillary angiomatosis and bacteremia?,"body louse,cat flea"
What vectors transmit a pathogen which causes osteomyelitis and trench fever?,"body louse,cat flea"
What vectors transmit a pathogen which causes osteomyelitis and bacillary angiomatosis?,"body louse,cat flea"
What vectors transmit a pathogen which causes osteomyelitis and endocarditis?,"body louse,cat flea"
What vectors transmit a pathogen which causes osteomyelitis and retinitis?,"body louse,cat flea"
What vectors transmit a pathogen which causes osteomyelitis and peliosis nhepatis?,"body louse,cat flea"
What vectors transmit a pathogen which causes osteomyelitis and cat scratch disease?,"body louse,cat flea"
What vectors transmit a pathogen which causes osteomyelitis and bacteremia?,"body louse,cat flea"
What vectors transmit a pathogen which causes endocarditis and trench fever?,"body louse,cat flea"
What vectors transmit a pathogen which causes endocarditis and bacillary angiomatosis?,"body louse,cat flea"
What vectors transmit a pathogen which causes endocarditis and osteomyelitis?,"body louse,cat flea"
What vectors transmit a pathogen which causes endocarditis and retinitis?,"body louse,cat flea"
What vectors transmit a pathogen which causes endocarditis and peliosis nhepatis?,"body louse,cat flea"
What vectors transmit a pathogen which causes endocarditis and cat scratch disease?,"body louse,cat flea"
What vectors transmit a pathogen which causes endocarditis and bacteremia?,"body louse,cat flea"
What vectors transmit a pathogen which causes retinitis and trench fever?,"body louse,cat flea"
What vectors transmit a pathogen which causes retinitis and bacillary angiomatosis?,"body louse,cat flea"
What vectors transmit a pathogen which causes retinitis and osteomyelitis?,"body louse,cat flea"
What vectors transmit a pathogen which causes retinitis and endocarditis?,"body louse,cat flea"
What vectors transmit a pathogen which causes retinitis and peliosis nhepatis?,"body louse,cat flea"
What vectors transmit a pathogen which causes retinitis and cat scratch disease?,"body louse,cat flea"
What vectors transmit a pathogen which causes retinitis and bacteremia?,"body louse,cat flea"
What vectors transmit a pathogen which causes diarrheal disease and cdi?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes diarrheal disease and shigellosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes diarrheal disease and bacteremia?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes diarrheal disease and salmonellosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes diarrheal disease and gastroenteritis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes diarrheal disease and campylobacteriosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes peliosis nhepatis and trench fever?,"body louse,cat flea"
What vectors transmit a pathogen which causes peliosis nhepatis and bacillary angiomatosis?,"body louse,cat flea"
What vectors transmit a pathogen which causes peliosis nhepatis and osteomyelitis?,"body louse,cat flea"
What vectors transmit a pathogen which causes peliosis nhepatis and endocarditis?,"body louse,cat flea"
What vectors transmit a pathogen which causes peliosis nhepatis and retinitis?,"body louse,cat flea"
What vectors transmit a pathogen which causes peliosis nhepatis and cat scratch disease?,"body louse,cat flea"
What vectors transmit a pathogen which causes peliosis nhepatis and bacteremia?,"body louse,cat flea"
What vectors transmit a pathogen which causes shigellosis and cdi?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes shigellosis and diarrheal disease?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes shigellosis and bacteremia?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes shigellosis and gastroenteritis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes cat scratch disease and trench fever?,"body louse,cat flea"
What vectors transmit a pathogen which causes cat scratch disease and bacillary angiomatosis?,"body louse,cat flea"
What vectors transmit a pathogen which causes cat scratch disease and osteomyelitis?,"body louse,cat flea"
What vectors transmit a pathogen which causes cat scratch disease and endocarditis?,"body louse,cat flea"
What vectors transmit a pathogen which causes cat scratch disease and retinitis?,"body louse,cat flea"
What vectors transmit a pathogen which causes cat scratch disease and peliosis nhepatis?,"body louse,cat flea"
What vectors transmit a pathogen which causes cat scratch disease and bacteremia?,"body louse,cat flea"
What vectors transmit a pathogen which causes bacteremia and cdi?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes bacteremia and trench fever?,"body louse,cat flea"
What vectors transmit a pathogen which causes bacteremia and bacillary angiomatosis?,"body louse,cat flea"
What vectors transmit a pathogen which causes bacteremia and osteomyelitis?,"body louse,cat flea"
What vectors transmit a pathogen which causes bacteremia and endocarditis?,"body louse,cat flea"
What vectors transmit a pathogen which causes bacteremia and retinitis?,"body louse,cat flea"
What vectors transmit a pathogen which causes bacteremia and diarrheal disease?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes bacteremia and peliosis nhepatis?,"body louse,cat flea"
What vectors transmit a pathogen which causes bacteremia and shigellosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes bacteremia and cat scratch disease?,"body louse,cat flea"
What vectors transmit a pathogen which causes bacteremia and salmonellosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes bacteremia and gastroenteritis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes bacteremia and campylobacteriosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes salmonellosis and cdi?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes salmonellosis and diarrheal disease?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes salmonellosis and bacteremia?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes salmonellosis and gastroenteritis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes gastroenteritis and cdi?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes gastroenteritis and diarrheal disease?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes gastroenteritis and shigellosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes gastroenteritis and bacteremia?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes gastroenteritis and salmonellosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes gastroenteritis and campylobacteriosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes campylobacteriosis and cdi?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes campylobacteriosis and diarrheal disease?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes campylobacteriosis and bacteremia?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes campylobacteriosis and gastroenteritis?,"contaminated food or water,fecal-oral exposure"
