question,answer
What disease is treated by moxifloxacin and clarithromycin?,gastroenteritis
What disease is treated by moxifloxacin and doxycycline?,gastroenteritis
What disease is treated by moxifloxacin and ceftriaxone?,gastroenteritis
What disease is treated by moxifloxacin and levofloxacin?,gastroenteritis
What disease is treated by moxifloxacin and vancomycin?,gastroenteritis
What disease is treated by moxifloxacin and rifampin?,gastroenteritis
What disease is treated by moxifloxacin and trimethoprim?,gastroenteritis
What disease is treated by moxifloxacin and metronidazole?,gastroenteritis
What disease is treated by moxifloxacin and aminoglycoside?,gastroenteritis
What disease is treated by moxifloxacin and ciprofloxacin?,gastroenteritis
What disease is treated by moxifloxacin and erythromycin?,gastroenteritis
What disease is treated by moxifloxacin and azithromycin?,gastroenteritis
What disease is treated by moxifloxacin and gentamicin?,gastroenteritis
What disease is treated by moxifloxacin and fidaxomicin?,gastroenteritis
What disease is treated by clarithromycin and moxifloxacin?,trench fever
What disease is treated by clarithromycin and doxycycline?,trench fever
What disease is treated by clarithromycin and ceftriaxone?,trench fever
What disease is treated by clarithromycin and levofloxacin?,trench fever
What disease is treated by clarithromycin and vancomycin?,trench fever
What disease is treated by clarithromycin and rifampin?,trench fever
What disease is treated by clarithromycin and trimethoprim?,trench fever
What disease is treated by clarithromycin and metronidazole?,trench fever
What disease is treated by clarithromycin and aminoglycoside?,trench fever
What disease is treated by clarithromycin and ciprofloxacin?,trench fever
What disease is treated by clarithromycin and erythromycin?,trench fever
What disease is treated by clarithromycin and azithromycin?,trench fever
What disease is treated by clarithromycin and gentamicin?,trench fever
What disease is treated by clarithromycin and fidaxomicin?,trench fever
What disease is treated by vancomycin and moxifloxacin?,cdi
What disease is treated by vancomycin and clarithromycin?,cdi
What disease is treated by vancomycin and doxycycline?,cdi
What disease is treated by vancomycin and ceftriaxone?,cdi
What disease is treated by vancomycin and levofloxacin?,cdi
What disease is treated by vancomycin and rifampin?,cdi
What disease is treated by vancomycin and trimethoprim?,cdi
What disease is treated by vancomycin and metronidazole?,cdi
What disease is treated by vancomycin and aminoglycoside?,cdi
What disease is treated by vancomycin and ciprofloxacin?,cdi
What disease is treated by vancomycin and erythromycin?,cdi
What disease is treated by vancomycin and azithromycin?,cdi
What disease is treated by vancomycin and gentamicin?,cdi
What disease is treated by vancomycin and fidaxomicin?,cdi
What disease is treated by rifampin and moxifloxacin?,endocarditis
What disease is treated by rifampin and clarithromycin?,endocarditis
What disease is treated by rifampin and doxycycline?,endocarditis
What disease is treated by rifampin and ceftriaxone?,endocarditis
What disease is treated by rifampin and levofloxacin?,endocarditis
What disease is treated by rifampin and vancomycin?,endocarditis
What disease is treated by rifampin and trimethoprim?,endocarditis
What disease is treated by rifampin and metronidazole?,endocarditis
What disease is treated by rifampin and aminoglycoside?,endocarditis
What disease is treated by rifampin and ciprofloxacin?,endocarditis
What disease is treated by rifampin and erythromycin?,endocarditis
What disease is treated by rifampin and azithromycin?,endocarditis
What disease is treated by rifampin and gentamicin?,endocarditis
What disease is treated by rifampin and fidaxomicin?,endocarditis
What disease is treated by metronidazole and moxifloxacin?,cdi
What disease is treated by metronidazole and clarithromycin?,cdi
What disease is treated by metronidazole and doxycycline?,cdi
What disease is treated by metronidazole and ceftriaxone?,cdi
What disease is treated by metronidazole and levofloxacin?,cdi
What disease is treated by metronidazole and vancomycin?,cdi
