question,answer
What medications treat bacillary angiomatosis and osteomyelitis?,"doxycycline,erythromycin"
What medications treat bacillary angiomatosis and peliosis hepatis?,"doxycycline,erythromycin"
What medications treat bacillary angiomatosis and cat scratch disease?,"doxycycline,erythromycin"
What medications treat bacillary angiomatosis and bacteremia?,"doxycycline,erythromycin"
What medications treat osteomyelitis and bacillary angiomatosis?,"doxycycline,erythromycin"
What medications treat osteomyelitis and peliosis hepatis?,"doxycycline,erythromycin"
What medications treat osteomyelitis and cat scratch disease?,"doxycycline,erythromycin"
What medications treat osteomyelitis and bacteremia?,"doxycycline,erythromycin"
What medications treat peliosis hepatis and bacillary angiomatosis?,"doxycycline,erythromycin"
What medications treat peliosis hepatis and osteomyelitis?,"doxycycline,erythromycin"
What medications treat peliosis hepatis and cat scratch disease?,"doxycycline,erythromycin"
What medications treat peliosis hepatis and bacteremia?,"doxycycline,erythromycin"
What medications treat diarrheal disease and shigellosis?,"azithromycin,ceftriaxone,ciprofloxacin"
What medications treat diarrheal disease and bacteremia?,"azithromycin,ceftriaxone,ciprofloxacin"
What medications treat diarrheal disease and gastroenteritis?,"azithromycin,ceftriaxone,ciprofloxacin"
What medications treat diarrheal disease and campylobacteriosis?,"azithromycin,ciprofloxacin"
What medications treat shigellosis and diarrheal disease?,"azithromycin,ceftriaxone,ciprofloxacin"
What medications treat shigellosis and bacteremia?,"azithromycin,ceftriaxone,ciprofloxacin"
What medications treat shigellosis and gastroenteritis?,"azithromycin,ceftriaxone,ciprofloxacin,levofloxacin,trimethoprim"
What medications treat shigellosis and campylobacteriosis?,"azithromycin,ciprofloxacin,levofloxacin"
What medications treat cat scratch disease and bacillary angiomatosis?,"doxycycline,erythromycin"
What medications treat cat scratch disease and osteomyelitis?,"doxycycline,erythromycin"
What medications treat cat scratch disease and peliosis hepatis?,"doxycycline,erythromycin"
What medications treat cat scratch disease and bacteremia?,"doxycycline,erythromycin"
What medications treat bacteremia and bacillary angiomatosis?,"doxycycline,erythromycin"
What medications treat bacteremia and osteomyelitis?,"doxycycline,erythromycin"
What medications treat bacteremia and peliosis hepatis?,"doxycycline,erythromycin"
What medications treat bacteremia and diarrheal disease?,"azithromycin,ceftriaxone,ciprofloxacin"
What medications treat bacteremia and shigellosis?,"azithromycin,ceftriaxone,ciprofloxacin"
What medications treat bacteremia and cat scratch disease?,"doxycycline,erythromycin"
What medications treat bacteremia and gastroenteritis?,"azithromycin,ceftriaxone,ciprofloxacin"
What medications treat bacteremia and campylobacteriosis?,"azithromycin,ciprofloxacin"
What medications treat gastroenteritis and diarrheal disease?,"azithromycin,ceftriaxone,ciprofloxacin"
What medications treat gastroenteritis and shigellosis?,"azithromycin,ceftriaxone,ciprofloxacin,levofloxacin,trimethoprim"
What medications treat gastroenteritis and bacteremia?,"azithromycin,ceftriaxone,ciprofloxacin"
What medications treat gastroenteritis and campylobacteriosis?,"azithromycin,ciprofloxacin,levofloxacin"
What medications treat campylobacteriosis and diarrheal disease?,"azithromycin,ciprofloxacin"
What medications treat campylobacteriosis and shigellosis?,"azithromycin,ciprofloxacin,levofloxacin"
What medications treat campylobacteriosis and bacteremia?,"azithromycin,ciprofloxacin"
What medications treat campylobacteriosis and gastroenteritis?,"azithromycin,ciprofloxacin,levofloxacin"
