question,answer
What medications treat cdi but not trench fever?,"fidaxomicin,metronidazole,vancomycin"
What medications treat cdi but not bacillary angiomatosis?,"fidaxomicin,metronidazole,vancomycin"
What medications treat cdi but not osteomyelitis?,"fidaxomicin,metronidazole,vancomycin"
What medications treat cdi but not peliosis hepatis?,"fidaxomicin,metronidazole,vancomycin"
What medications treat cdi but not endocarditis?,"fidaxomicin,metronidazole,vancomycin"
What medications treat cdi but not retinitis?,"fidaxomicin,metronidazole,vancomycin"
What medications treat cdi but not diarrheal disease?,"fidaxomicin,metronidazole,vancomycin"
What medications treat cdi but not peliosis nhepatis?,"fidaxomicin,metronidazole,vancomycin"
What medications treat cdi but not shigellosis?,"fidaxomicin,metronidazole,vancomycin"
What medications treat cdi but not cat scratch disease?,"fidaxomicin,metronidazole,vancomycin"
What medications treat cdi but not bacteremia?,"fidaxomicin,metronidazole,vancomycin"
What medications treat cdi but not salmonellosis?,"fidaxomicin,metronidazole,vancomycin"
What medications treat cdi but not gastroenteritis?,"fidaxomicin,metronidazole,vancomycin"
What medications treat cdi but not campylobacteriosis?,"fidaxomicin,metronidazole,vancomycin"
What medications treat bacillary angiomatosis but not cdi?,"doxycycline,erythromycin"
What medications treat bacillary angiomatosis but not trench fever?,"doxycycline,erythromycin"
What medications treat bacillary angiomatosis but not retinitis?,"doxycycline,erythromycin"
What medications treat bacillary angiomatosis but not diarrheal disease?,"doxycycline,erythromycin"
What medications treat bacillary angiomatosis but not peliosis nhepatis?,"doxycycline,erythromycin"
What medications treat bacillary angiomatosis but not shigellosis?,"doxycycline,erythromycin"
What medications treat bacillary angiomatosis but not salmonellosis?,"doxycycline,erythromycin"
What medications treat bacillary angiomatosis but not gastroenteritis?,"doxycycline,erythromycin"
What medications treat bacillary angiomatosis but not campylobacteriosis?,"doxycycline,erythromycin"
What medications treat osteomyelitis but not cdi?,"doxycycline,erythromycin"
What medications treat osteomyelitis but not trench fever?,"doxycycline,erythromycin"
What medications treat osteomyelitis but not retinitis?,"doxycycline,erythromycin"
What medications treat osteomyelitis but not diarrheal disease?,"doxycycline,erythromycin"
What medications treat osteomyelitis but not peliosis nhepatis?,"doxycycline,erythromycin"
What medications treat osteomyelitis but not shigellosis?,"doxycycline,erythromycin"
What medications treat osteomyelitis but not salmonellosis?,"doxycycline,erythromycin"
What medications treat osteomyelitis but not gastroenteritis?,"doxycycline,erythromycin"
What medications treat osteomyelitis but not campylobacteriosis?,"doxycycline,erythromycin"
What medications treat peliosis hepatis but not cdi?,"doxycycline,erythromycin"
What medications treat peliosis hepatis but not trench fever?,"doxycycline,erythromycin"
What medications treat peliosis hepatis but not retinitis?,"doxycycline,erythromycin"
What medications treat peliosis hepatis but not diarrheal disease?,"doxycycline,erythromycin"
What medications treat peliosis hepatis but not peliosis nhepatis?,"doxycycline,erythromycin"
What medications treat peliosis hepatis but not shigellosis?,"doxycycline,erythromycin"
What medications treat peliosis hepatis but not salmonellosis?,"doxycycline,erythromycin"
What medications treat peliosis hepatis but not gastroenteritis?,"doxycycline,erythromycin"
What medications treat peliosis hepatis but not campylobacteriosis?,"doxycycline,erythromycin"
What medications treat endocarditis but not cdi?,"doxycycline,gentamicin,rifampin"
What medications treat endocarditis but not trench fever?,"doxycycline,gentamicin,rifampin"
What medications treat endocarditis but not bacillary angiomatosis?,"gentamicin,rifampin"
What medications treat endocarditis but not osteomyelitis?,"gentamicin,rifampin"
What medications treat endocarditis but not peliosis hepatis?,"gentamicin,rifampin"
What medications treat endocarditis but not retinitis?,"doxycycline,gentamicin,rifampin"
What medications treat endocarditis but not diarrheal disease?,"doxycycline,gentamicin,rifampin"
What medications treat endocarditis but not peliosis nhepatis?,"doxycycline,gentamicin,rifampin"
What medications treat endocarditis but not shigellosis?,"doxycycline,gentamicin,rifampin"
What medications treat endocarditis but not cat scratch disease?,"gentamicin,rifampin"
What medications treat endocarditis but not bacteremia?,"gentamicin,rifampin"
What medications treat endocarditis but not salmonellosis?,"doxycycline,gentamicin,rifampin"
What medications treat endocarditis but not gastroenteritis?,"doxycycline,gentamicin,rifampin"
What medications treat endocarditis but not campylobacteriosis?,"doxycycline,gentamicin,rifampin"
What medications treat diarrheal disease but not cdi?,"azithromycin,ceftriaxone,ciprofloxacin"
What medications treat diarrheal disease but not trench fever?,"azithromycin,ceftriaxone,ciprofloxacin"
What medications treat diarrheal disease but not bacillary angiomatosis?,"azithromycin,ceftriaxone,ciprofloxacin"
