question,answer
What pathogens cause gastroenteritis and cdi?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause gastroenteritis and diarrheal disease?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause gastroenteritis and bacteremia?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause cdi and gastroenteritis?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause cdi and diarrheal disease?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause cdi and bacteremia?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause diarrheal disease and gastroenteritis?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause diarrheal disease and cdi?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause diarrheal disease and bacteremia?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause bacteremia and gastroenteritis?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause bacteremia and cdi?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause bacteremia and diarrheal disease?,"campylobacter,escherichia coli,salmonella,shigella"
