question,answer
What pathogens cause a disease which is treated by moxifloxacin but not clarithromycin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by moxifloxacin but not doxycycline?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by moxifloxacin but not vancomycin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by moxifloxacin but not rifampin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by moxifloxacin but not metronidazole?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by moxifloxacin but not aminoglycoside?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by moxifloxacin but not erythromycin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by moxifloxacin but not gentamicin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by moxifloxacin but not fidaxomicin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by doxycycline but not moxifloxacin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by doxycycline but not clarithromycin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by doxycycline but not levofloxacin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by doxycycline but not vancomycin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by doxycycline but not rifampin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by doxycycline but not trimethoprim?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by doxycycline but not metronidazole?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by doxycycline but not gentamicin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by doxycycline but not fidaxomicin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ceftriaxone but not moxifloxacin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ceftriaxone but not clarithromycin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ceftriaxone but not doxycycline?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ceftriaxone but not levofloxacin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ceftriaxone but not vancomycin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ceftriaxone but not rifampin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ceftriaxone but not trimethoprim?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ceftriaxone but not metronidazole?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ceftriaxone but not aminoglycoside?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ceftriaxone but not erythromycin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ceftriaxone but not gentamicin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ceftriaxone but not fidaxomicin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by levofloxacin but not moxifloxacin?,"campylobacter,shigella"
What pathogens cause a disease which is treated by levofloxacin but not clarithromycin?,"campylobacter,escherichia coli,salmonella,shigella"
