document_number,question,answer,num_hops,num_set_operations,multiple_answers,llm_response
29,"who is the chief financial officer of the company associated with 911 panorama trail south, rochester, new york 14625",efrain rivera,3,0,0,Efrain Rivera
29,who is the chief financial officer of the company which is the parent borrower in the agreement,efrain rivera,3,0,0,Efrain Rivera
29,"what are the roles in the agreement of the company associated with pnc bank, national association","agent, lender, issuing bank",2,0,1,"Lender, Issuing Bank and Administrative Agent"
29,which companies are both the administrative borrower and the borrower in the agreement,"pnc bank, national association",1,1,1,Not found
29,what are the roles in the agreement of the company where lisa christian is employed,"agent, administrative borrower",2,0,1,"Administrative Agent, Lender, Issuing Bank"
29,which companies are both the administrative agent and the agent in the agreement,"pnc bank, national association",1,1,1,Not found
29,"what are the roles in the agreement of the company associated with pnc bank, national association",agent,2,0,1,"Lender, Issuing Bank and Administrative Agent"
37,what are the roles in the agreement of the company where maria f. maia is employed,"lender, l c issuer",2,0,1,Not found
37,"who is the executive vice president of the company associated with 3 waterway square place, suite 110the woodlands, tx 77380",worthing f. jackman,3,0,0,Worthing F. Jackman
37,who is the director of the company which is the swing line lender in the agreement,sandra cortes,3,0,0,Not found
37,"who is the chief financial officer and executive vice president of waste connections, inc.",worthing f. jackman,2,1,0,Worthing Jackman
37,"who are the vice presidents of citizens bank, n.a","kelly nash, bryan ervin, raj nambiar, steven dixon, tad stainbrook, john kushnerick, judith a. huckins",2,0,1,Judith A. Huckins
37,"who is the chief financial officer of the company associated with 3 waterway square place, suite 110the woodlands, tx 77380",worthing f. jackman,3,0,0,Worthing F. Jackman
37,"what are the roles in the agreement of the company associated with bank of america, n.a.","lender, l c issuer",2,0,1,"Administrative Agent, Swing Line Lender and L/C Issuer"
107,what roles do both citigroup global markets inc. and j.p. morgan securities inc. have in the agreement,"bookrunner, book manager, lead arranger",1,1,1,joint lead arrangers and joint bookrunners
107,"what role does ocelot merger sub, inc. have in the agreement which is not the role of open text inc.",borrower,2,1,0,"Ocelot Merger Sub, Inc. is merging with GXS Group, Inc."
107,which companies are both the collateral trustee and the trustee in the agreement,"inc, barclays bank plc, wilmington trust fsb, wells fargo foothill",1,1,1,Not found
107,who is the president and vice president of open text ulc,paul mcfeeters,2,1,0,President and Chief Financial Officer
107,who is the director of the company which is the administrative agent in the agreement,ritam bhalla,3,0,0,Ritam Bhalla
107,"what role does easylink services international corporation have in the agreement which is not the role of gxs worldwide, inc.",grantor,2,1,0,"Easylink Services International Corporation has intercompany loans with Xpedite Systems Worldwide, Inc. and Open Text (Hong Kong) Limited."
