document_number,average_f1_score,average_edit_distance,average_cosine_similarity,total_questions
9,0.17775510204081632,0.3075797485821908,0.16528335965499025,35
17,0.21007804351358292,0.27838335574792744,0.1959338852933389,29
25,0.4444444444444444,0.6025763041758914,0.4444444444444444,18
43,0.09090909090909091,0.11111111111111112,0.09090909090909091,11
45,0.3125,0.4046348093747638,0.30878930391966736,20
47,0.06779661016949153,0.18886581760163462,0.06779661016949154,59
51,0.19545454545454544,0.2585112502784798,0.18903334923319345,22
60,0.05646258503401361,0.19304049203733167,0.057663271360485546,49
65,0.24142698848581204,0.3325557734716589,0.23267444730169648,37
66,0.023255813953488372,0.17667385483390954,0.023255813953488372,43
