document_number,f1_score,edit_distance,cosine_similarity,llm_as_a_judge,num_questions
9,0.8292410714285714,0.19392962294231658,0.8223487396396095,4.28125,32
17,0.27717725266744875,0.6582840641712602,0.27132723699036104,2.1481481481481484,27
25,0.7301587301587301,0.15021749084249084,0.7233828235567711,4.214285714285714,14
43,0.18181818181818182,0.08181818181818182,0.18181818181818182,4.181818181818182,11
45,0.8997909035409035,0.16192875059722883,0.8928435189445991,4.9,20
47,0.5331121708480199,0.32816763504992635,0.5259572618147269,3.2452830188679247,53
51,0.8298563869992441,0.3315615333869538,0.8304541777625636,4.380952380952381,21
60,0.7890512265512265,0.24525668615987978,0.7698081164690508,3.772727272727273,44
65,0.2841269841269841,0.6039673479110024,0.2720400058234707,2.107142857142857,28
66,0.10714285714285714,0.7724984958826236,0.10485785850421454,1.35,40
