document_number,f1_score,edit_distance,cosine_similarity,llm_as_a_judge,num_questions
9,0.7979910714285714,0.21316039217308583,0.7910987396396095,4.15625,32
17,0.31641447997657146,0.6234513776807327,0.31177315312308773,2.4074074074074074,27
25,0.7301587301587301,0.13668935231435234,0.7233828235567711,4.214285714285714,14
43,0.14285714285714288,0.15151515151515152,0.14361260650342417,4.090909090909091,11
45,0.9213186813186812,0.12999752180808882,0.9153155481473039,4.85,20
47,0.546589259796807,0.4240632888375476,0.5391041285232101,3.207547169811321,53
51,0.8518518518518519,0.2940082060920918,0.8571428571428573,4.571428571428571,21
60,0.8117784992784993,0.22505466595785958,0.7925353891963236,3.9545454545454546,44
65,0.14285714285714285,0.7257873251294129,0.14285714285714285,1.5357142857142858,28
66,0.05,0.8106637811270165,0.05,1.175,40
