document_number,f1_score,edit_distance,cosine_similarity,llm_as_a_judge,num_questions
9,0.7979910714285714,0.21316039217308583,0.7910987396396095,4.09375,32
17,0.28419522863967306,0.6632153590368417,0.267712424729253,2.1481481481481484,27
25,0.7642857142857142,0.13627764640422868,0.7597056897012706,4.357142857142857,14
43,0.18181818181818182,0.08181818181818182,0.18181818181818182,4.181818181818182,11
45,0.8752580752580753,0.19239792518664225,0.8746278646070819,4.8,20
47,0.4237747823763362,0.34208085478866423,0.4122433365765204,3.5283018867924527,53
51,0.8613756613756614,0.33079805716765714,0.874820096520391,4.380952380952381,21
60,0.8072330447330447,0.22744701045546725,0.7859285088919207,3.909090909090909,44
65,0.19047619047619047,0.6873837545362603,0.18643886252006533,1.75,28
66,0.0,0.8398624120921914,0.0,1.0,40
