document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension,llm_response
139,what is the position held by michael king but not by michael vondriska or ronnie glenn,authorized signatory,1,3,0,Vice President
139,what is the position held by michael king but not by savo bozic or sheldon pinto,vice president,1,3,0,Vice President
106,what is the position held by kirkwood roland but not by lana gifas or marcus m. tarkington,vice president,1,3,0,Director & Vice President
106,what is the position held by kirkwood roland but not by michael getz or vanessa a. kurbatskiy,director,1,3,0,Director & Vice President
160,what is the position held by robert g. shaw but not by joseph siri or martin corrigan,managing director,1,3,0,Vice President & Managing Director
61,what is the position held by jim cahow but not by liz cheng or marko lukin,director,1,3,0,Director and Vice President
99,what is the position held by doug couvillion but not by nick flanagan or s. victoria harvey,treasurer,1,3,0,Treasurer
82,what is the position held by david c. francisco but not by david m. crane or jennifer hwang,treasurer,1,3,0,Vice President and Treasurer
82,what is the position held by david c. francisco but not by david m. crane or john l. healy,treasurer,1,3,0,Vice President and Treasurer
82,what is the position held by david c. francisco but not by david m. crane or vanessa a. kurbatskiy,treasurer,1,3,0,Vice President and Treasurer
82,what is the position held by david c. francisco but not by jennifer hwang or john l. healy,treasurer,1,3,0,Vice President and Treasurer
82,what is the position held by david c. francisco but not by jennifer hwang or vanessa a. kurbatskiy,treasurer,1,3,0,Vice President and Treasurer
82,what is the position held by david c. francisco but not by john l. healy or vanessa a. kurbatskiy,treasurer,1,3,0,Vice President and Treasurer
140,what is the position held by demetrios tserpelis but not by sean mckinley or tony traynor,authorized signatory,1,3,0,Authorized Signatory
57,what is the position held by chuck b. kyrish but not by henry pennell or kara p. van duzee,treasurer,1,3,0,Vice President & Treasurer
57,what is the position held by chuck b. kyrish but not by henry pennell or katherine l. hurley,treasurer,1,3,0,Vice President & Treasurer
57,what is the position held by chuck b. kyrish but not by henry pennell or lauren steiner,treasurer,1,3,0,Vice President & Treasurer
57,what is the position held by chuck b. kyrish but not by henry pennell or michael vondriska,treasurer,1,3,0,Vice President & Treasurer
57,what is the position held by chuck b. kyrish but not by henry pennell or robert sullivan,treasurer,1,3,0,Vice President & Treasurer
57,what is the position held by chuck b. kyrish but not by henry pennell or virginia cosenza,treasurer,1,3,0,Vice President & Treasurer
57,what is the position held by chuck b. kyrish but not by kara p. van duzee or katherine l. hurley,treasurer,1,3,0,Vice President & Treasurer
57,what is the position held by chuck b. kyrish but not by kara p. van duzee or lauren steiner,treasurer,1,3,0,Vice President & Treasurer
57,what is the position held by chuck b. kyrish but not by kara p. van duzee or michael vondriska,treasurer,1,3,0,Vice President & Treasurer
57,what is the position held by chuck b. kyrish but not by kara p. van duzee or robert sullivan,treasurer,1,3,0,Vice President & Treasurer
57,what is the position held by chuck b. kyrish but not by kara p. van duzee or virginia cosenza,treasurer,1,3,0,Vice President & Treasurer
57,what is the position held by chuck b. kyrish but not by katherine l. hurley or lauren steiner,treasurer,1,3,0,Vice President & Treasurer
57,what is the position held by chuck b. kyrish but not by katherine l. hurley or michael vondriska,treasurer,1,3,0,Vice President & Treasurer
57,what is the position held by chuck b. kyrish but not by katherine l. hurley or robert sullivan,treasurer,1,3,0,Vice President & Treasurer
57,what is the position held by chuck b. kyrish but not by katherine l. hurley or virginia cosenza,treasurer,1,3,0,Vice President & Treasurer
57,what is the position held by chuck b. kyrish but not by lauren steiner or michael vondriska,treasurer,1,3,0,Vice President & Treasurer
57,what is the position held by chuck b. kyrish but not by lauren steiner or robert sullivan,treasurer,1,3,0,Vice President & Treasurer
57,what is the position held by chuck b. kyrish but not by lauren steiner or virginia cosenza,treasurer,1,3,0,Vice President & Treasurer
57,what is the position held by chuck b. kyrish but not by michael vondriska or robert sullivan,treasurer,1,3,0,Vice President & Treasurer
57,what is the position held by chuck b. kyrish but not by michael vondriska or virginia cosenza,treasurer,1,3,0,Vice President & Treasurer
57,what is the position held by chuck b. kyrish but not by robert sullivan or virginia cosenza,treasurer,1,3,0,Vice President & Treasurer
84,what is the position held by alexander wu but not by chwan ming ho or edward chen,svp,1,3,0,SVP & General Manager
84,what is the position held by alexander wu but not by chwan ming ho or li hua huang,svp,1,3,0,SVP & General Manager
84,what is the position held by alexander wu but not by edward chen or li hua huang,svp,1,3,0,SVP & General Manager
145,what is the position held by joseph d. glatt but not by guy major or tammy jennissen,vice president,1,3,0,Vice President
123,what is the position held by john b. ellis but not by lisa huang or shaun hawley,treasurer,1,3,0,Vice President and Treasurer
35,what is the position held by john p. rielly but not by kelton glasscock or sophia love,chief financial officer,1,3,0,Chief Financial Officer
35,what is the position held by john p. rielly but not by kelton glasscock or timothy b. goodell,chief financial officer,1,3,0,Chief Financial Officer
35,what is the position held by john p. rielly but not by sophia love or timothy b. goodell,chief financial officer,1,3,0,Chief Financial Officer
121,what is the position held by angela chen but not by jane chang or murtuza ziauddin,dgm,1,3,0,VP & DGM
121,what is the position held by kefel xu but not by kitty sin or paul hultgren,branch manager,1,3,0,SVP & Branch Manager
135,what is the position held by sharon s. spurlin but not by virginia cosenza or hans beekmans,treasurer,1,3,0,Vice President and Treasurer
31,what is the position held by haiyong yang but not by kurban h. merchant or maureen maroney,branch manager,1,3,0,Vice President and Branch Manager
31,what is the position held by haiyong yang but not by kurban h. merchant or oscar d. cortez,branch manager,1,3,0,Vice President and Branch Manager
31,what is the position held by haiyong yang but not by maureen maroney or oscar d. cortez,branch manager,1,3,0,Vice President and Branch Manager
139,what is the position held by michael king and michael vondriska but not by savo bozic,vice president,1,3,0,Not found
139,what is the position held by michael king and ronnie glenn but not by savo bozic,vice president,1,3,0,Not found
106,what is the position held by kirkwood roland and lana gifas but not by michael getz,director,1,3,0,Not found
106,what is the position held by kirkwood roland and marcus m. tarkington but not by michael getz,director,1,3,0,Not found
61,what is the position held by jim cahow and liz cheng but not by ming k chu,vice president,1,3,0,Vice President
61,what is the position held by jim cahow and marko lukin but not by ming k chu,vice president,1,3,0,Vice President
89,what is the position held by charles p. holden and james b. pekarek but not by sabir hashmy,chief financial officer,1,3,0,Not found
140,what is the position held by demetrios tserpelis and sean mckinley but not by william graham,director,1,3,0,Director
140,what is the position held by demetrios tserpelis and tony traynor but not by william graham,director,1,3,0,Director
60,"what is the role and subrole that bank of montreal and fifth third bank, national association share in the agreement that is not held by jpmorgan chase bank, n.a.",documentation agent,1,3,0,Senior Managing Agents
60,"what is the role and subrole that bank of montreal and fifth third bank, national association share in the agreement that is not held by mufg bank, ltd.",documentation agent,1,3,0,Senior Managing Agents
60,"what is the role and subrole that bank of montreal and fifth third bank, national association share in the agreement that is not held by pnc capital markets llc",documentation agent,1,3,0,Senior Managing Agents
60,"what is the role and subrole that bank of montreal and fifth third bank, national association share in the agreement that is not held by wells fargo securities llc",documentation agent,1,3,0,Senior Managing Agents
60,"what is the role and subrole that bank of montreal and goldman sachs bank usa share in the agreement that is not held by jpmorgan chase bank, n.a.",documentation agent,1,3,0,Not found
60,"what is the role and subrole that bank of montreal and goldman sachs bank usa share in the agreement that is not held by mufg bank, ltd.",documentation agent,1,3,0,Not found
60,what is the role and subrole that bank of montreal and goldman sachs bank usa share in the agreement that is not held by pnc capital markets llc,documentation agent,1,3,0,Not found
60,what is the role and subrole that bank of montreal and goldman sachs bank usa share in the agreement that is not held by wells fargo securities llc,documentation agent,1,3,0,Not found
60,"what is the role and subrole that bank of montreal and pnc bank, national association share in the agreement that is not held by pnc capital markets llc",documentation agent,1,3,0,Documentation Agents
60,"what is the role and subrole that bank of montreal and pnc bank, national association share in the agreement that is not held by wells fargo securities llc",documentation agent,1,3,0,Documentation Agents
60,"what is the role and subrole that bank of montreal and td bank, n.a. share in the agreement that is not held by wells fargo securities llc",documentation agent,1,3,0,Not found
60,what is the role and subrole that bank of montreal and u.s. bank national association share in the agreement that is not held by wells fargo securities llc,documentation agent,1,3,0,Documentation Agents
60,"what is the role and subrole that bank of montreal and wells fargo bank, national association share in the agreement that is not held by wells fargo securities llc",documentation agent,1,3,0,Documentation Agents
60,"what is the role and subrole that u.s. bank national association and wells fargo bank, national association share in the agreement that is not held by wells fargo securities llc",documentation agent,1,3,0,Not found
67,"what is the role and subrole that coherus intermediate corp. and intekrin therapeutics inc. share in the agreement that is not held by coherus biosciences, inc.",additional credit party,1,3,0,additional Credit Parties
135,"what is the role and subrole that citigroup global markets inc. and dnb markets, inc. share in the agreement that is not held by merrill lynch, pierce, fenner smith incorporated",lead arranger,1,3,0,Joint Lead Arrangers and Joint Bookrunners
135,"what is the role and subrole that citigroup global markets inc. and j.p. morgan securities llc share in the agreement that is not held by merrill lynch, pierce, fenner smith incorporated",lead arranger,1,3,0,Joint Lead Arrangers and Joint Bookrunners
135,"what is the role and subrole that dnb markets, inc. and j.p. morgan securities llc share in the agreement that is not held by merrill lynch, pierce, fenner smith incorporated",lead arranger,1,3,0,Joint Lead Arrangers and Joint Bookrunners
60,"what company is the documentation agent in the agreement, shared by bank of montreal and u.s. bank national association but not held by wells fargo securities llc",bank of montreal,1,3,0,"Bank of Montreal, U.S. Bank National Association"
135,"what company is the lead arranger in the agreement, shared by citigroup global markets inc. and dnb markets, inc. but not held by merrill lynch, pierce, fenner smith incorporated",citigroup global markets inc.,1,3,0,"Citigroup Global Markets Inc., DNB Markets, Inc."
135,"what company is the lead arranger in the agreement, shared by citigroup global markets inc. and j.p. morgan securities llc but not held by merrill lynch, pierce, fenner smith incorporated",citigroup global markets inc.,1,3,0,"Citigroup Global Markets Inc., J.P. Morgan Securities LLC"
135,"what company is the lead arranger in the agreement, shared by dnb markets, inc. and j.p. morgan securities llc but not held by merrill lynch, pierce, fenner smith incorporated","inc., dnb markets",1,3,0,"DNB Markets, Inc., J.P. Morgan Securities LLC"
60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by bofa securities, inc. or citibank, n.a.",documentation agent,1,3,0,Documentation Agents
60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by bofa securities, inc. or jpmorgan chase bank, n.a.",documentation agent,1,3,0,Documentation Agents
