document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension,llm_response,multiple_answers,f1_score,edit_distance,cosine_similarity,llm_as_a_judge
17,"what is the role in the agreement of the company associated with exgen renewables iv, llc",borrower,2,0,0.0,Grantor,,0.0,0.75,0.0,1
17,"what is the role in the agreement of the company associated with constellation dco albany power holdings, llc",grantor,2,0,0.0,Not found,,0.0,0.8888888888888888,0.0,1
17,"what is the role in the agreement of the company associated with exgen renewables iv holding, llc",holding,2,0,0.0,Holding,,1.0,0.0,1.0,5
17,"what is the role in the agreement of the company associated with exelon avsr holding, llc",grantor,2,0,0.0,"Exelon AVSR Holding, LLC consents to the grant by the Grantor of a security interest in all of the Pledged Equity Interests constituting Collateral to the Collateral Agent and the terms of such grant set forth in the Pledge and Security Agreement, dated as of November 28, 2017, between ExGen Renewables IV, LLC, as Grantor and Wilmington Trust, National Association, as Collateral Agent.",,0.046511627906976744,0.9815303430079155,0.12291844526862808,3
17,"what is the role in the agreement of the company associated with solgen holding, llc",grantor,2,0,0.0,"owns (directly or indirectly) all (or a specified class of) the Equity Interests of each of the other Project Entities, which collectively own or lease the Projects",,0.0,0.9631901840490797,0.0,1
17,"what is the role in the agreement of the company associated with wilmington trust, national association","national associationagent, collateralwilmington trust",2,0,0.0,Collateral Agent and Depositary Bank,,0.0,0.75,0.0,3
17,"what is the chief executive office office of exgen renewables holdings, llc","il 60603, 49th floorchicago, 10 south dearborn street",2,0,,"10 South Dearborn Street, 49 th Floor Chicago, IL 60603",,0.6666666666666665,0.8867924528301887,0.5101490193104813,5
17,"what is the chief executive office office of exgen renewables iv holding, llc","il 60603, 49th floorchicago, 10 south dearborn street",2,0,,"10 South Dearborn Street, 49 th Floor Chicago, IL 60603",,0.6666666666666665,0.8867924528301887,0.5101490193104813,5
102,what position does adam finerman hold,esq.,1,0,,Not found,,0.0,1.0,0.0,1
102,what position does katherine bell hold,esq.,1,0,,Not found,,0.0,1.0,0.0,1
102,what position does kathy r. plisko hold,authorized signatory,1,0,,Not found,,0.0,0.85,0.0,1
102,who is the chief financial officer of digirad corporation,jeffry r. keyes,2,0,0.0,Jeffry R. Keyes,,1.0,0.0,1.0000000000000002,5
102,who is the president of digirad corporation,jeffry r. keyes,2,0,0.0,Not found,,0.0,0.9285714285714286,0.0,1
102,"who is the authorized signatory of wells fargo bank, national association",kathy r. plisko,2,0,0.0,Not found,,0.0,0.8571428571428571,0.0,1
102,"what is the role in the agreement of the company associated with digirad imaging solutions, inc.",borrowers,2,0,0.0,"Provider of medical imaging services (including nuclear cardiology and ultrasound imaging services)
Provider of medical monitoring services (including cardiac event monitoring services). Design and manufacture nuclear and other cameras. Sale, repair and servicing of nuclear and other cameras.",,0.0,0.9757785467128027,0.0,1
102,"what is the role in the agreement of the company associated with dms health technologies, inc.",borrowers,2,0,0.0,"Owner Mark Registration No. Registration Date
*DMS Health Technologies, Inc. “DMS” service mark and logo 2,947,218 May 10, 2005
*DMS Health Technologies, Inc. DMS Health Technologies 3,721,441 December 8, 2009
*DMS Health Technologies, Inc. DMS Topline Medical 3,711,659 November 17, 2009
* These Liens permitted to be outstanding until January 4, 2016.",,0.0,0.9791044776119403,0.0,1
102,"what is the role in the agreement of the company associated with dms imaging, inc.",borrowers,2,0,0.0,Borrower,,0.0,0.1111111111111111,0.0,4
102,what is the role in the agreement of the company associated with md office solutions,borrowers,2,0,0.0,Borrower,,0.0,0.1111111111111111,0.0,4
102,what is the role in the agreement of the company associated with project rendezvous holding corporation,borrowers,2,0,0.0,"Common: 1,000 Project Rendezvous Holding Corporation 100 shares 100% Project Rendezvous Acquisition Corporation*",,0.0,0.9363636363636364,0.0,1
