document_number,f1_score,edit_distance,cosine_similarity,llm_as_a_judge,num_questions
3,0.0,0.7777777777777778,0.0,1.0,1
5,0.0,0.7,0.0,1.0,2
9,0.0,0.9230769230769231,0.0,1.0,2
11,0.0,0.8,0.0,1.0,2
22,0.2,0.6854545454545454,0.20000000000000004,1.8,5
23,0.0,0.7058823529411765,0.0,1.0,2
26,0.0,0.9230769230769231,0.0,1.0,1
32,0.0,0.8534109764878995,0.0,1.0,117
35,0.0,0.8085624782457361,0.0,1.0,13
37,0.0,0.8333333333333334,0.0,1.0,1
38,0.0,1.0,0.0,1.0,1
40,0.0,0.8173076923076923,0.0,1.0,8
41,0.0,0.8181818181818182,0.0,1.0,3
42,0.0,0.8125,0.0,1.0,1
46,0.0,0.7647058823529411,0.0,1.0,1
47,0.0,0.8646153846153848,0.0,1.0,5
51,0.0,0.7272727272727272,0.0,1.0,6
54,0.0,0.7857142857142857,0.0,1.0,1
58,0.0,0.8125,0.0,1.0,1
59,0.0,0.8372093023255814,0.0,1.0,3
60,0.031286027006617416,0.8350962533211617,0.01649659411472948,1.323943661971831,71
61,0.0,0.888888888888889,0.0,1.0,5
65,0.0,0.8571428571428571,0.0,1.0,4
66,0.09238310708898946,0.8002438523478127,0.04809308935530595,2.6923076923076925,13
68,0.0,0.7692307692307693,0.0,1.0,4
72,0.0,0.9090909090909091,0.0,1.0,2
77,0.0,0.858041958041958,0.0,1.0,4
83,0.0,0.925,0.0,1.0,8
84,0.0,0.9512820512820512,0.0,1.0,5
86,0.0,0.8571428571428571,0.0,1.0,3
87,0.0,0.7579185520361991,0.0,1.0,2
89,0.0,0.875,0.0,1.0,1
90,0.0,0.9444444444444444,0.0,1.0,2
94,0.0,0.9230769230769232,0.0,1.0,11
96,0.0,0.8634259259259259,0.0,1.0,6
99,0.0,0.7333333333333333,0.0,1.0,1
106,0.0,0.6666666666666666,0.0,1.0,2
107,0.0,0.8811352040816327,0.0,1.0,14
111,0.0,0.8666666666666667,0.0,1.0,2
112,0.0,0.8461538461538461,0.0,1.0,1
115,0.0,0.8280701754385965,0.0,1.0,4
121,0.0,0.8603170343972282,0.0,1.0,10
124,0.0,0.8571428571428571,0.0,1.0,2
126,0.0,0.825,0.0,1.0,1
127,0.0,0.9,0.0,1.0,1
128,0.0,0.8461538461538461,0.0,1.0,2
130,0.0,0.8306595365418895,0.0,1.0,6
135,0.0,0.8264705882352941,0.0,1.0,15
137,0.0,0.875,0.0,1.0,3
139,0.0,0.8969696969696969,0.0,1.0,5
140,0.0,0.8421052631578947,0.0,1.0,2
142,0.0,0.8041666666666667,0.0,1.0,3
144,0.0,0.9375,0.0,1.0,2
145,0.0,0.8851648351648352,0.0,1.0,5
147,0.0,0.8812925170068028,0.0,1.0,7
151,0.0,0.7857142857142857,0.0,1.0,8
153,0.0,0.8428571428571429,0.0,1.0,5
155,0.0,0.8044871794871795,0.0,1.0,2
156,0.0,0.8674242424242424,0.0,1.0,2
160,0.0,0.8461538461538461,0.0,1.0,1
162,0.1,0.7909226190476191,0.08402423181906439,1.0,4
165,0.0,0.6805555555555556,0.0,1.0,2
166,0.0,0.8655994687573635,0.0,1.0,15
169,0.0,0.8250000000000001,0.0,1.0,6
