Unnamed: 0,document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension,llm_response,f1_score,edit_distance,cosine_similarity
0,17,"what is the role in the agreement of the company associated with exgen renewables iv, llc",borrower,2,0,0.0,"The company associated with ExGen Renewables IV, LLC is the Borrower, also referred to as Grantor.",0.125,0.08421052631578951,0.17005266537334524
1,17,"what is the role in the agreement of the company associated with constellation dco albany power holdings, llc",grantor,2,0,0.0,"The company associated with Constellation DCO Albany Power Holdings, LLC is a Project Entity, also referred to as Issuer.",0.0,0.05084745762711862,0.0
2,17,"what is the role in the agreement of the company associated with exgen renewables iv holding, llc",holding,2,0,0.0,"The company associated with ExGen Renewables IV Holding, LLC is a Loan Party, also referred to as Pledgor.",0.10526315789473684,0.06796116504854366,0.17512808619292852
3,17,"what is the role in the agreement of the company associated with exelon avsr holding, llc",grantor,2,0,0.0,"The company associated with Exelon AVSR Holding, LLC is a Project Entity, also referred to as Issuer.",0.0,0.061224489795918324,0.0
4,17,"what is the role in the agreement of the company associated with solgen holding, llc",grantor,2,0,0.0,"The company associated with SolGen Holding, LLC is a Project Entity, also referred to as Issuer.",0.0,0.06451612903225812,0.0
5,17,"what is the role in the agreement of the company associated with wilmington trust, national association","national associationagent, collateralwilmington trust",2,0,0.0,"The company associated with Wilmington Trust, National Association is the Collateral Agent and Depositary Bank, also referred to as Collateral Agent.",0.1818181818181818,0.273972602739726,0.11437635563999371
6,17,"what is the chief executive office office of exgen renewables holdings, llc","il 60603, 49th floorchicago, 10 south dearborn street",2,0,,"10 South Dearborn Street, 49th Floor Chicago, IL 60603",0.823529411764706,0.09615384615384615,0.7060777744337089
7,17,"what is the chief executive office office of exgen renewables iv holding, llc","il 60603, 49th floorchicago, 10 south dearborn street",2,0,,"10 South Dearborn Street, 49th Floor Chicago, IL 60603",0.823529411764706,0.09615384615384615,0.7060777744337089
886,60,what position does anthony galea hold,executive director,1,0,,executive director,1.0,1.0,1.0000000000000002
887,60,what position does bernadette collins hold,senior vice president,1,0,,senior vice president,1.0,1.0,1.0000000000000002
888,60,what position does caroline smith hold,assistant vice president,1,0,,assistant vice president,1.0,1.0,1.0000000000000002
889,60,what position does eric h. williams hold,senior vice president,1,0,,senior vice president,1.0,1.0,1.0000000000000002
890,60,what position does greg strauss hold,director,1,0,,director,1.0,1.0,1.0
891,60,what position does harry yergey hold,managing director,1,0,,managing director,1.0,1.0,1.0000000000000002
892,60,what position does jason rinne hold,director,1,0,,director,1.0,1.0,1.0
893,60,what position does joshua dearmon hold,senior vice president,1,0,,senior vice president,1.0,1.0,1.0000000000000002
894,60,what position does laura dodd hold,vice president,1,0,,vice president,1.0,1.0,1.0000000000000002
895,60,what position does lukas coleman hold,vice president,1,0,,vice president,1.0,1.0,1.0000000000000002
896,60,what position does michael maguire hold,managing director,1,0,,managing director,1.0,1.0,1.0000000000000002
897,60,what position does michael s. barnett hold,senior vice president,1,0,,senior vice president,1.0,1.0,1.0000000000000002
898,60,what position does oscar cortez hold,director,1,0,,director,1.0,1.0,1.0
899,60,what position does patrick hartweger hold,managing director,1,0,,managing director,1.0,1.0,1.0000000000000002
900,60,what position does stephanie herndon hold,assistant vice president,1,0,,assistant vice president,1.0,1.0,1.0000000000000002
901,60,what position does susan m. olsen hold,vice president,1,0,,vice president,1.0,1.0,1.0000000000000002
902,60,what position does thor o connell hold,vice president,1,0,,vice president,1.0,1.0,1.0000000000000002
903,60,"what role do both bank of america, n.a. and bofa securities, inc. have in the agreement",,1,1,0.0,arranger,0.0,0.0,0.0
904,60,"what role do both bank of america, n.a. and citibank, n.a. have in the agreement",,1,1,0.0,administrative agent,0.0,0.0,0.0
905,60,"what role do both bank of america, n.a. and jpmorgan chase bank, n.a. have in the agreement",,1,1,0.0,arranger,0.0,0.0,0.0
906,60,"what role do both bank of america, n.a. and mufg bank, ltd. have in the agreement",,1,1,0.0,arranger,0.0,0.0,0.0
907,60,"what role do both bank of america, n.a. and pnc capital markets llc have in the agreement",,1,1,0.0,arranger,0.0,0.0,0.0
908,60,"what role do both bank of america, n.a. and wells fargo securities llc have in the agreement",,1,1,0.0,arranger,0.0,0.0,0.0
909,60,"what role do both bofa securities, inc. and fifth third bank, national association have in the agreement",,1,1,0.0,senior managing agent,0.0,0.0,0.0
910,60,"what role do both bofa securities, inc. and goldman sachs bank usa have in the agreement",,1,1,0.0,senior managing agent,0.0,0.0,0.0
911,60,"what role do both bofa securities, inc. and pnc bank, national association have in the agreement",,1,1,0.0,senior managing agent,0.0,0.0,0.0
912,60,"what role do both bofa securities, inc. and td bank, n.a. have in the agreement",,1,1,0.0,senior managing agent,0.0,0.0,0.0
913,60,"what role do both bofa securities, inc. and wells fargo bank, national association have in the agreement",,1,1,0.0,senior managing agent,0.0,0.0,0.0
914,60,"what role do both bofa securities, inc. and jpmorgan chase bank, n.a have in the agreement",,1,1,0.0,arranger,0.0,0.0,0.0
915,60,"what role do both bofa securities, inc. and regions bank have in the agreement",,1,1,0.0,senior managing agent,0.0,0.0,0.0
916,60,"what role do both citibank, n.a. and fifth third bank, national association have in the agreement",,1,1,0.0,senior managing agent,0.0,0.0,0.0
917,60,"what role do both citibank, n.a. and goldman sachs bank usa have in the agreement",,1,1,0.0,senior managing agent,0.0,0.0,0.0
918,60,"what role do both citibank, n.a. and pnc bank, national association have in the agreement",,1,1,0.0,senior managing agent,0.0,0.0,0.0
919,60,"what role do both citibank, n.a. and td bank, n.a. have in the agreement",,1,1,0.0,senior managing agent,0.0,0.0,0.0
920,60,"what role do both citibank, n.a. and wells fargo bank, national association have in the agreement",,1,1,0.0,senior managing agent,0.0,0.0,0.0
921,60,"what role do both citibank, n.a. and jpmorgan chase bank, n.a have in the agreement",,1,1,0.0,arranger,0.0,0.0,0.0
922,60,"what role do both citibank, n.a. and regions bank have in the agreement",,1,1,0.0,senior managing agent,0.0,0.0,0.0
923,60,"what role do both fifth third bank, national association and jpmorgan chase bank, n.a. have in the agreement",,1,1,0.0,arranger,0.0,0.0,0.0
924,60,"what role do both fifth third bank, national association and mufg bank, ltd. have in the agreement",,1,1,0.0,arranger,0.0,0.0,0.0
925,60,"what role do both fifth third bank, national association and pnc capital markets llc have in the agreement",,1,1,0.0,arranger,0.0,0.0,0.0
926,60,"what role do both fifth third bank, national association and wells fargo securities llc have in the agreement",,1,1,0.0,arranger,0.0,0.0,0.0
927,60,"what role do both goldman sachs bank usa and jpmorgan chase bank, n.a. have in the agreement",,1,1,0.0,arranger,0.0,0.0,0.0
928,60,"what role do both goldman sachs bank usa and mufg bank, ltd. have in the agreement",,1,1,0.0,arranger,0.0,0.0,0.0
929,60,what role do both goldman sachs bank usa and pnc capital markets llc have in the agreement,,1,1,0.0,arranger,0.0,0.0,0.0
930,60,what role do both goldman sachs bank usa and wells fargo securities llc have in the agreement,,1,1,0.0,arranger,0.0,0.0,0.0
931,60,"what role do both jpmorgan chase bank, n.a. and pnc bank, national association have in the agreement",,1,1,0.0,arranger,0.0,0.0,0.0
932,60,"what role do both jpmorgan chase bank, n.a. and td bank, n.a. have in the agreement",,1,1,0.0,arranger,0.0,0.0,0.0
933,60,"what role do both jpmorgan chase bank, n.a. and wells fargo bank, national association have in the agreement",,1,1,0.0,arranger,0.0,0.0,0.0
934,60,"what role do both jpmorgan chase bank, n.a. and jpmorgan chase bank, n.a have in the agreement",,1,1,0.0,arranger,0.0,0.0,0.0
935,60,"what role do both jpmorgan chase bank, n.a. and regions bank have in the agreement",,1,1,0.0,arranger,0.0,0.0,0.0
936,60,"what role do both mufg bank, ltd. and pnc bank, national association have in the agreement",,1,1,0.0,"MUFG Bank, Ltd. is the Syndication Agent and PNC Bank, National Association is the Senior Managing Agent.",0.0,0.0,0.0
937,60,"what role do both mufg bank, ltd. and td bank, n.a. have in the agreement",,1,1,0.0,"MUFG Bank, Ltd. is the Syndication Agent and TD Bank, N.A. is the Senior Managing Agent.",0.0,0.0,0.0
938,60,"what role do both mufg bank, ltd. and wells fargo bank, national association have in the agreement",,1,1,0.0,"MUFG Bank, Ltd. is the Syndication Agent and Wells Fargo Bank, National Association is the Senior Managing Agent.",0.0,0.0,0.0
939,60,"what role do both mufg bank, ltd. and jpmorgan chase bank, n.a have in the agreement",,1,1,0.0,"MUFG Bank, Ltd. is the Syndication Agent and JPMorgan Chase Bank, N.A is the Senior Managing Agent.",0.0,0.0,0.0
940,60,"what role do both mufg bank, ltd. and regions bank have in the agreement",,1,1,0.0,"MUFG Bank, Ltd. is the Syndication Agent and Regions Bank is the Senior Managing Agent.",0.0,0.0,0.0
